"label","description","algorithm","strategy","delay","rate"
"","","P256_FALCON","UDP","0","0"
"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","0"
"test0.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","1"
"test1.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","1"
"test2.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","0"
"test3.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","1"
"test4.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","0"
"test5.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","0"
"test6.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","0"
"test7.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","0"
"test8.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","0"
"test9.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","0"
"test10.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","1"
"test11.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","1"
"test12.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","1"
"test13.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","0"
"test14.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","1"
"test15.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","0"
"test16.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","0"
"test17.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","0"
"test18.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","1"
"test19.example.test","Mon Jun 15 16:47:22 AEST 2026","192.168.121.103#53","NOERROR","1"
