"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-02 05:25:45 UTC","16.27.6.160@853","NOERROR","135.9"
"test0.example.test","2026-07-02 05:25:45 UTC","16.27.6.160@853","NOERROR","55.9"
"test1.example.test","2026-07-02 05:25:46 UTC","16.27.6.160@853","NOERROR","58.0"
"test2.example.test","2026-07-02 05:25:46 UTC","16.27.6.160@853","NOERROR","56.9"
"test3.example.test","2026-07-02 05:25:46 UTC","16.27.6.160@853","NOERROR","57.1"
"test4.example.test","2026-07-02 05:25:46 UTC","16.27.6.160@853","NOERROR","60.8"
"test5.example.test","2026-07-02 05:25:46 UTC","16.27.6.160@853","NOERROR","56.9"
"test6.example.test","2026-07-02 05:25:46 UTC","16.27.6.160@853","NOERROR","54.5"
"test7.example.test","2026-07-02 05:25:46 UTC","16.27.6.160@853","NOERROR","56.3"
"test8.example.test","2026-07-02 05:25:46 UTC","16.27.6.160@853","NOERROR","58.1"
"test9.example.test","2026-07-02 05:25:46 UTC","16.27.6.160@853","NOERROR","59.3"
"test10.example.test","2026-07-02 05:25:46 UTC","16.27.6.160@853","NOERROR","55.2"
"test11.example.test","2026-07-02 05:25:46 UTC","16.27.6.160@853","NOERROR","52.4"
"test12.example.test","2026-07-02 05:25:46 UTC","16.27.6.160@853","NOERROR","59.0"
"test13.example.test","2026-07-02 05:25:46 UTC","16.27.6.160@853","NOERROR","55.5"
"test14.example.test","2026-07-02 05:25:46 UTC","16.27.6.160@853","NOERROR","57.6"
"test15.example.test","2026-07-02 05:25:47 UTC","16.27.6.160@853","NOERROR","60.7"
"test16.example.test","2026-07-02 05:25:47 UTC","16.27.6.160@853","NOERROR","60.0"
"test17.example.test","2026-07-02 05:25:47 UTC","16.27.6.160@853","NOERROR","57.5"
"test18.example.test","2026-07-02 05:25:47 UTC","16.27.6.160@853","NOERROR","61.3"
"test19.example.test","2026-07-02 05:25:47 UTC","16.27.6.160@853","NOERROR","55.6"
