Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-02 06:53:39 UTC,16.27.6.160@853,NOERROR,119.6
test0.example.test,2026-07-02 06:53:39 UTC,16.27.6.160@853,NOERROR,56.7
test1.example.test,2026-07-02 06:53:40 UTC,16.27.6.160@853,NOERROR,54.1
test2.example.test,2026-07-02 06:53:40 UTC,16.27.6.160@853,NOERROR,54
test3.example.test,2026-07-02 06:53:40 UTC,16.27.6.160@853,NOERROR,53.1
test4.example.test,2026-07-02 06:53:40 UTC,16.27.6.160@853,NOERROR,61.3
test5.example.test,2026-07-02 06:53:40 UTC,16.27.6.160@853,NOERROR,59.8
test6.example.test,2026-07-02 06:53:40 UTC,16.27.6.160@853,NOERROR,59
test7.example.test,2026-07-02 06:53:40 UTC,16.27.6.160@853,NOERROR,58.9
test8.example.test,2026-07-02 06:53:40 UTC,16.27.6.160@853,NOERROR,56.6
test9.example.test,2026-07-02 06:53:40 UTC,16.27.6.160@853,NOERROR,54.1
test10.example.test,2026-07-02 06:53:40 UTC,16.27.6.160@853,NOERROR,52.5
test11.example.test,2026-07-02 06:53:40 UTC,16.27.6.160@853,NOERROR,55.7
test12.example.test,2026-07-02 06:53:40 UTC,16.27.6.160@853,NOERROR,62
test13.example.test,2026-07-02 06:53:40 UTC,16.27.6.160@853,NOERROR,60.1
test14.example.test,2026-07-02 06:53:40 UTC,16.27.6.160@853,NOERROR,57.1
test15.example.test,2026-07-02 06:53:41 UTC,16.27.6.160@853,NOERROR,52.3
test16.example.test,2026-07-02 06:53:41 UTC,16.27.6.160@853,NOERROR,56.4
test17.example.test,2026-07-02 06:53:41 UTC,16.27.6.160@853,NOERROR,55.9
test18.example.test,2026-07-02 06:53:41 UTC,16.27.6.160@853,NOERROR,58.9
test19.example.test,2026-07-02 06:53:41 UTC,16.27.6.160@853,NOERROR,61.2
,,,,56.985
,,,,3.04946500916231
