Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-02 06:41:17 UTC,16.27.6.160@8853,NOERROR,149.7
test0.example.test,2026-07-02 06:41:18 UTC,16.27.6.160@8853,NOERROR,92.5
test1.example.test,2026-07-02 06:41:18 UTC,16.27.6.160@8853,NOERROR,92.5
test2.example.test,2026-07-02 06:41:18 UTC,16.27.6.160@8853,NOERROR,91.5
test3.example.test,2026-07-02 06:41:18 UTC,16.27.6.160@8853,NOERROR,88.1
test4.example.test,2026-07-02 06:41:18 UTC,16.27.6.160@8853,NOERROR,92.4
test5.example.test,2026-07-02 06:41:18 UTC,16.27.6.160@8853,NOERROR,93.8
test6.example.test,2026-07-02 06:41:18 UTC,16.27.6.160@8853,NOERROR,87
test7.example.test,2026-07-02 06:41:18 UTC,16.27.6.160@8853,NOERROR,93.3
test8.example.test,2026-07-02 06:41:18 UTC,16.27.6.160@8853,NOERROR,81.8
test9.example.test,2026-07-02 06:41:18 UTC,16.27.6.160@8853,NOERROR,86.3
test10.example.test,2026-07-02 06:41:19 UTC,16.27.6.160@8853,NOERROR,85
test11.example.test,2026-07-02 06:41:19 UTC,16.27.6.160@8853,NOERROR,84
test12.example.test,2026-07-02 06:41:19 UTC,16.27.6.160@8853,NOERROR,94.8
test13.example.test,2026-07-02 06:41:19 UTC,16.27.6.160@8853,NOERROR,91.3
test14.example.test,2026-07-02 06:41:19 UTC,16.27.6.160@8853,NOERROR,100.6
test15.example.test,2026-07-02 06:41:19 UTC,16.27.6.160@8853,NOERROR,81.1
test16.example.test,2026-07-02 06:41:19 UTC,16.27.6.160@8853,NOERROR,87.8
test17.example.test,2026-07-02 06:41:19 UTC,16.27.6.160@8853,NOERROR,86
test18.example.test,2026-07-02 06:41:19 UTC,16.27.6.160@8853,NOERROR,90.6
test19.example.test,2026-07-02 06:41:19 UTC,16.27.6.160@8853,NOERROR,81
,,,,89.07
,,,,5.13800083997453
