Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-02 06:55:25 UTC,16.27.6.160@8853,NOERROR,158
test0.example.test,2026-07-02 06:55:25 UTC,16.27.6.160@8853,NOERROR,91.1
test1.example.test,2026-07-02 06:55:25 UTC,16.27.6.160@8853,NOERROR,74.4
test2.example.test,2026-07-02 06:55:26 UTC,16.27.6.160@8853,NOERROR,79.9
test3.example.test,2026-07-02 06:55:26 UTC,16.27.6.160@8853,NOERROR,79.9
test4.example.test,2026-07-02 06:55:26 UTC,16.27.6.160@8853,NOERROR,73.7
test5.example.test,2026-07-02 06:55:26 UTC,16.27.6.160@8853,NOERROR,83
test6.example.test,2026-07-02 06:55:26 UTC,16.27.6.160@8853,NOERROR,77.9
test7.example.test,2026-07-02 06:55:26 UTC,16.27.6.160@8853,NOERROR,80
test8.example.test,2026-07-02 06:55:26 UTC,16.27.6.160@8853,NOERROR,79.9
test9.example.test,2026-07-02 06:55:26 UTC,16.27.6.160@8853,NOERROR,78.6
test10.example.test,2026-07-02 06:55:26 UTC,16.27.6.160@8853,NOERROR,83.3
test11.example.test,2026-07-02 06:55:26 UTC,16.27.6.160@8853,NOERROR,76.5
test12.example.test,2026-07-02 06:55:26 UTC,16.27.6.160@8853,NOERROR,78
test13.example.test,2026-07-02 06:55:27 UTC,16.27.6.160@8853,NOERROR,76.2
test14.example.test,2026-07-02 06:55:27 UTC,16.27.6.160@8853,NOERROR,74.2
test15.example.test,2026-07-02 06:55:27 UTC,16.27.6.160@8853,NOERROR,80
test16.example.test,2026-07-02 06:55:27 UTC,16.27.6.160@8853,NOERROR,80.9
test17.example.test,2026-07-02 06:55:27 UTC,16.27.6.160@8853,NOERROR,72.9
test18.example.test,2026-07-02 06:55:27 UTC,16.27.6.160@8853,NOERROR,81.7
test19.example.test,2026-07-02 06:55:27 UTC,16.27.6.160@8853,NOERROR,75.8
,,,,78.895
,,,,4.18147229170728
