Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-02 05:51:21 UTC,16.27.6.160@53,NOERROR,110.4
test0.example.test,2026-07-02 05:51:21 UTC,16.27.6.160@53,NOERROR,51
test1.example.test,2026-07-02 05:51:21 UTC,16.27.6.160@53,NOERROR,52.3
test2.example.test,2026-07-02 05:51:21 UTC,16.27.6.160@53,NOERROR,55.1
test3.example.test,2026-07-02 05:51:21 UTC,16.27.6.160@53,NOERROR,58.1
test4.example.test,2026-07-02 05:51:21 UTC,16.27.6.160@53,NOERROR,51.1
test5.example.test,2026-07-02 05:51:21 UTC,16.27.6.160@53,NOERROR,50.9
test6.example.test,2026-07-02 05:51:21 UTC,16.27.6.160@53,NOERROR,55
test7.example.test,2026-07-02 05:51:21 UTC,16.27.6.160@53,NOERROR,48.2
test8.example.test,2026-07-02 05:51:21 UTC,16.27.6.160@53,NOERROR,54.7
test9.example.test,2026-07-02 05:51:21 UTC,16.27.6.160@53,NOERROR,51.7
test10.example.test,2026-07-02 05:51:21 UTC,16.27.6.160@53,NOERROR,50.1
test11.example.test,2026-07-02 05:51:22 UTC,16.27.6.160@53,NOERROR,47
test12.example.test,2026-07-02 05:51:22 UTC,16.27.6.160@53,NOERROR,50.3
test13.example.test,2026-07-02 05:51:22 UTC,16.27.6.160@53,NOERROR,47.7
test14.example.test,2026-07-02 05:51:22 UTC,16.27.6.160@53,NOERROR,51.3
test15.example.test,2026-07-02 05:51:22 UTC,16.27.6.160@53,NOERROR,50.7
test16.example.test,2026-07-02 05:51:22 UTC,16.27.6.160@53,NOERROR,53.2
test17.example.test,2026-07-02 05:51:22 UTC,16.27.6.160@53,NOERROR,52.4
test18.example.test,2026-07-02 05:51:22 UTC,16.27.6.160@53,NOERROR,53.5
test19.example.test,2026-07-02 05:51:22 UTC,16.27.6.160@53,NOERROR,52.3
,,,,51.83
,,,,2.67819656524783
