Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-02 06:56:57 UTC,16.27.6.160@53,NOERROR,107
test0.example.test,2026-07-02 06:56:57 UTC,16.27.6.160@53,NOERROR,57.4
test1.example.test,2026-07-02 06:56:57 UTC,16.27.6.160@53,NOERROR,50.8
test2.example.test,2026-07-02 06:56:57 UTC,16.27.6.160@53,NOERROR,48.4
test3.example.test,2026-07-02 06:56:57 UTC,16.27.6.160@53,NOERROR,52.7
test4.example.test,2026-07-02 06:56:57 UTC,16.27.6.160@53,NOERROR,51.3
test5.example.test,2026-07-02 06:56:57 UTC,16.27.6.160@53,NOERROR,53.6
test6.example.test,2026-07-02 06:56:57 UTC,16.27.6.160@53,NOERROR,53.5
test7.example.test,2026-07-02 06:56:57 UTC,16.27.6.160@53,NOERROR,55.6
test8.example.test,2026-07-02 06:56:57 UTC,16.27.6.160@53,NOERROR,57.7
test9.example.test,2026-07-02 06:56:57 UTC,16.27.6.160@53,NOERROR,50
test10.example.test,2026-07-02 06:56:58 UTC,16.27.6.160@53,NOERROR,48.4
test11.example.test,2026-07-02 06:56:58 UTC,16.27.6.160@53,NOERROR,48.2
test12.example.test,2026-07-02 06:56:58 UTC,16.27.6.160@53,NOERROR,52.5
test13.example.test,2026-07-02 06:56:58 UTC,16.27.6.160@53,NOERROR,49.9
test14.example.test,2026-07-02 06:56:58 UTC,16.27.6.160@53,NOERROR,51.8
test15.example.test,2026-07-02 06:56:58 UTC,16.27.6.160@53,NOERROR,55.9
test16.example.test,2026-07-02 06:56:58 UTC,16.27.6.160@53,NOERROR,49.8
test17.example.test,2026-07-02 06:56:58 UTC,16.27.6.160@53,NOERROR,51.4
test18.example.test,2026-07-02 06:56:58 UTC,16.27.6.160@53,NOERROR,48.6
test19.example.test,2026-07-02 06:56:58 UTC,16.27.6.160@53,NOERROR,49.6
,,,,51.855
,,,,2.97542124394973
