Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,56.4
test0.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,27.4
test1.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,26.3
test2.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,26
test3.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,27.3
test4.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,28.2
test5.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,24.9
test6.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,25.9
test7.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,24.3
test8.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,30
test9.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,27.3
test10.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,27.3
test11.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,24.1
test12.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,25.2
test13.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,24.2
test14.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,25.6
test15.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,27.2
test16.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,25.3
test17.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,27.1
test18.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,26.7
test19.example.test,2026-07-02 06:51:56 UTC,16.27.6.160@53,NOERROR,26.1
,,,,26.32
,,,,1.47455613303587
