Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-02 07:27:46 UTC,16.27.6.160@853,NOERROR,249.2
test0.example.test,2026-07-02 07:27:47 UTC,16.27.6.160@853,NOERROR,60
test1.example.test,2026-07-02 07:27:47 UTC,16.27.6.160@853,NOERROR,58.3
test2.example.test,2026-07-02 07:27:47 UTC,16.27.6.160@853,NOERROR,57.7
test3.example.test,2026-07-02 07:27:47 UTC,16.27.6.160@853,NOERROR,60
test4.example.test,2026-07-02 07:27:47 UTC,16.27.6.160@853,NOERROR,58.5
test5.example.test,2026-07-02 07:27:47 UTC,16.27.6.160@853,NOERROR,57
test6.example.test,2026-07-02 07:27:47 UTC,16.27.6.160@853,NOERROR,57.6
test7.example.test,2026-07-02 07:27:47 UTC,16.27.6.160@853,NOERROR,59.9
test8.example.test,2026-07-02 07:27:47 UTC,16.27.6.160@853,NOERROR,58.5
test9.example.test,2026-07-02 07:27:47 UTC,16.27.6.160@853,NOERROR,61
test10.example.test,2026-07-02 07:27:47 UTC,16.27.6.160@853,NOERROR,62.6
test11.example.test,2026-07-02 07:27:48 UTC,16.27.6.160@853,NOERROR,73.3
test12.example.test,2026-07-02 07:27:48 UTC,16.27.6.160@853,NOERROR,59.4
test13.example.test,2026-07-02 07:27:48 UTC,16.27.6.160@853,NOERROR,58.5
test14.example.test,2026-07-02 07:27:48 UTC,16.27.6.160@853,NOERROR,57.4
test15.example.test,2026-07-02 07:27:48 UTC,16.27.6.160@853,NOERROR,56.3
test16.example.test,2026-07-02 07:27:48 UTC,16.27.6.160@853,NOERROR,60.4
test17.example.test,2026-07-02 07:27:48 UTC,16.27.6.160@853,NOERROR,62.9
test18.example.test,2026-07-02 07:27:48 UTC,16.27.6.160@853,NOERROR,57.9
test19.example.test,2026-07-02 07:27:48 UTC,16.27.6.160@853,NOERROR,56.9
,,,,59.705
,,,,3.67071984909313
