Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-02 09:07:54 UTC,16.27.6.160@8853,NOERROR,163.2
test0.example.test,2026-07-02 09:07:54 UTC,16.27.6.160@8853,NOERROR,89.5
test1.example.test,2026-07-02 09:07:55 UTC,16.27.6.160@8853,NOERROR,83.4
test2.example.test,2026-07-02 09:07:55 UTC,16.27.6.160@8853,NOERROR,84.5
test3.example.test,2026-07-02 09:07:55 UTC,16.27.6.160@8853,NOERROR,84.1
test4.example.test,2026-07-02 09:07:55 UTC,16.27.6.160@8853,NOERROR,81.6
test5.example.test,2026-07-02 09:07:55 UTC,16.27.6.160@8853,NOERROR,89.4
test6.example.test,2026-07-02 09:07:55 UTC,16.27.6.160@8853,NOERROR,84.7
test7.example.test,2026-07-02 09:07:55 UTC,16.27.6.160@8853,NOERROR,82.5
test8.example.test,2026-07-02 09:07:55 UTC,16.27.6.160@8853,NOERROR,84.6
test9.example.test,2026-07-02 09:07:55 UTC,16.27.6.160@8853,NOERROR,85.5
test10.example.test,2026-07-02 09:07:55 UTC,16.27.6.160@8853,NOERROR,82.5
test11.example.test,2026-07-02 09:07:56 UTC,16.27.6.160@8853,NOERROR,86.7
test12.example.test,2026-07-02 09:07:56 UTC,16.27.6.160@8853,NOERROR,84.4
test13.example.test,2026-07-02 09:07:56 UTC,16.27.6.160@8853,NOERROR,84
test14.example.test,2026-07-02 09:07:56 UTC,16.27.6.160@8853,NOERROR,83.9
test15.example.test,2026-07-02 09:07:56 UTC,16.27.6.160@8853,NOERROR,80
test16.example.test,2026-07-02 09:07:56 UTC,16.27.6.160@8853,NOERROR,84.6
test17.example.test,2026-07-02 09:07:56 UTC,16.27.6.160@8853,NOERROR,82.3
test18.example.test,2026-07-02 09:07:56 UTC,16.27.6.160@8853,NOERROR,89.9
test19.example.test,2026-07-02 09:07:56 UTC,16.27.6.160@8853,NOERROR,83.6
,,,,84.585
,,,,2.59782804017429
