Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-02 08:52:12 UTC,16.27.6.160@53,NOERROR,114.4
test0.example.test,2026-07-02 08:52:12 UTC,16.27.6.160@53,NOERROR,55.6
test1.example.test,2026-07-02 08:52:12 UTC,16.27.6.160@53,NOERROR,47.6
test2.example.test,2026-07-02 08:52:12 UTC,16.27.6.160@53,NOERROR,52.1
test3.example.test,2026-07-02 08:52:12 UTC,16.27.6.160@53,NOERROR,50.7
test4.example.test,2026-07-02 08:52:12 UTC,16.27.6.160@53,NOERROR,48.2
test5.example.test,2026-07-02 08:52:12 UTC,16.27.6.160@53,NOERROR,58.2
test6.example.test,2026-07-02 08:52:12 UTC,16.27.6.160@53,NOERROR,54.6
test7.example.test,2026-07-02 08:52:12 UTC,16.27.6.160@53,NOERROR,52.5
test8.example.test,2026-07-02 08:52:12 UTC,16.27.6.160@53,NOERROR,54
test9.example.test,2026-07-02 08:52:12 UTC,16.27.6.160@53,NOERROR,56.5
test10.example.test,2026-07-02 08:52:13 UTC,16.27.6.160@53,NOERROR,53.4
test11.example.test,2026-07-02 08:52:13 UTC,16.27.6.160@53,NOERROR,48.6
test12.example.test,2026-07-02 08:52:13 UTC,16.27.6.160@53,NOERROR,54.4
test13.example.test,2026-07-02 08:52:13 UTC,16.27.6.160@53,NOERROR,48.9
test14.example.test,2026-07-02 08:52:13 UTC,16.27.6.160@53,NOERROR,58.6
test15.example.test,2026-07-02 08:52:13 UTC,16.27.6.160@53,NOERROR,53.2
test16.example.test,2026-07-02 08:52:13 UTC,16.27.6.160@53,NOERROR,51.2
test17.example.test,2026-07-02 08:52:13 UTC,16.27.6.160@53,NOERROR,53
test18.example.test,2026-07-02 08:52:13 UTC,16.27.6.160@53,NOERROR,50.2
test19.example.test,2026-07-02 08:52:13 UTC,16.27.6.160@53,NOERROR,52.5
,,,,52.7
,,,,3.14039890191643
