Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-02 09:04:27 UTC,16.27.6.160@53,NOERROR,99.6
test0.example.test,2026-07-02 09:04:27 UTC,16.27.6.160@53,NOERROR,52.8
test1.example.test,2026-07-02 09:04:27 UTC,16.27.6.160@53,NOERROR,51.8
test2.example.test,2026-07-02 09:04:27 UTC,16.27.6.160@53,NOERROR,51.6
test3.example.test,2026-07-02 09:04:27 UTC,16.27.6.160@53,NOERROR,58.3
test4.example.test,2026-07-02 09:04:27 UTC,16.27.6.160@53,NOERROR,51.8
test5.example.test,2026-07-02 09:04:27 UTC,16.27.6.160@53,NOERROR,50.6
test6.example.test,2026-07-02 09:04:27 UTC,16.27.6.160@53,NOERROR,53.5
test7.example.test,2026-07-02 09:04:27 UTC,16.27.6.160@53,NOERROR,52.4
test8.example.test,2026-07-02 09:04:27 UTC,16.27.6.160@53,NOERROR,49.4
test9.example.test,2026-07-02 09:04:28 UTC,16.27.6.160@53,NOERROR,50.4
test10.example.test,2026-07-02 09:04:28 UTC,16.27.6.160@53,NOERROR,50.1
test11.example.test,2026-07-02 09:04:28 UTC,16.27.6.160@53,NOERROR,53.7
test12.example.test,2026-07-02 09:04:28 UTC,16.27.6.160@53,NOERROR,52.6
test13.example.test,2026-07-02 09:04:28 UTC,16.27.6.160@53,NOERROR,50.4
test14.example.test,2026-07-02 09:04:28 UTC,16.27.6.160@53,NOERROR,54.6
test15.example.test,2026-07-02 09:04:28 UTC,16.27.6.160@53,NOERROR,54.6
test16.example.test,2026-07-02 09:04:28 UTC,16.27.6.160@53,NOERROR,54.7
test17.example.test,2026-07-02 09:04:28 UTC,16.27.6.160@53,NOERROR,51.8
test18.example.test,2026-07-02 09:04:28 UTC,16.27.6.160@53,NOERROR,51
test19.example.test,2026-07-02 09:04:28 UTC,16.27.6.160@53,NOERROR,57.8
,,,,52.695
,,,,2.40076194045491
