Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-02 07:25:42 UTC,16.27.6.160@53,NOERROR,26.9
test0.example.test,2026-07-02 07:25:42 UTC,16.27.6.160@53,NOERROR,68.6
test1.example.test,2026-07-02 07:25:42 UTC,16.27.6.160@53,NOERROR,64.8
test2.example.test,2026-07-02 07:25:42 UTC,16.27.6.160@53,NOERROR,63
test3.example.test,2026-07-02 07:25:42 UTC,16.27.6.160@53,NOERROR,68.2
test4.example.test,2026-07-02 07:25:42 UTC,16.27.6.160@53,NOERROR,63.2
test5.example.test,2026-07-02 07:25:42 UTC,16.27.6.160@53,NOERROR,75.2
test6.example.test,2026-07-02 07:25:42 UTC,16.27.6.160@53,NOERROR,64.1
test7.example.test,2026-07-02 07:25:43 UTC,16.27.6.160@53,NOERROR,63.5
test8.example.test,2026-07-02 07:25:43 UTC,16.27.6.160@53,NOERROR,64.2
test9.example.test,2026-07-02 07:25:43 UTC,16.27.6.160@53,NOERROR,66.8
test10.example.test,2026-07-02 07:25:43 UTC,16.27.6.160@53,NOERROR,71.2
test11.example.test,2026-07-02 07:25:43 UTC,16.27.6.160@53,NOERROR,66
test12.example.test,2026-07-02 07:25:43 UTC,16.27.6.160@53,NOERROR,66
test13.example.test,2026-07-02 07:25:43 UTC,16.27.6.160@53,NOERROR,68.8
test14.example.test,2026-07-02 07:25:43 UTC,16.27.6.160@53,NOERROR,65.1
test15.example.test,2026-07-02 07:25:44 UTC,16.27.6.160@53,NOERROR,68.6
test16.example.test,2026-07-02 07:25:44 UTC,16.27.6.160@53,NOERROR,65.1
test17.example.test,2026-07-02 07:25:44 UTC,16.27.6.160@53,NOERROR,62.2
test18.example.test,2026-07-02 07:25:44 UTC,16.27.6.160@53,NOERROR,65.1
test19.example.test,2026-07-02 07:25:44 UTC,16.27.6.160@53,NOERROR,66.9
,,,,66.33
,,,,3.12377976176298
