Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-07 05:16:52 UTC,16.26.83.210@853,NOERROR,120.6
test0.example.test,2026-07-07 05:16:52 UTC,16.26.83.210@853,NOERROR,53.3
test1.example.test,2026-07-07 05:16:52 UTC,16.26.83.210@853,NOERROR,54.5
test2.example.test,2026-07-07 05:16:52 UTC,16.26.83.210@853,NOERROR,60.5
test3.example.test,2026-07-07 05:16:52 UTC,16.26.83.210@853,NOERROR,57.5
test4.example.test,2026-07-07 05:16:52 UTC,16.26.83.210@853,NOERROR,56.5
test5.example.test,2026-07-07 05:16:52 UTC,16.26.83.210@853,NOERROR,56.6
test6.example.test,2026-07-07 05:16:52 UTC,16.26.83.210@853,NOERROR,62.3
test7.example.test,2026-07-07 05:16:52 UTC,16.26.83.210@853,NOERROR,54.7
test8.example.test,2026-07-07 05:16:52 UTC,16.26.83.210@853,NOERROR,60
test9.example.test,2026-07-07 05:16:52 UTC,16.26.83.210@853,NOERROR,56.9
test10.example.test,2026-07-07 05:16:52 UTC,16.26.83.210@853,NOERROR,59
test11.example.test,2026-07-07 05:16:52 UTC,16.26.83.210@853,NOERROR,56.9
test12.example.test,2026-07-07 05:16:52 UTC,16.26.83.210@853,NOERROR,55.1
test13.example.test,2026-07-07 05:16:53 UTC,16.26.83.210@853,NOERROR,55.6
test14.example.test,2026-07-07 05:16:53 UTC,16.26.83.210@853,NOERROR,62.3
test15.example.test,2026-07-07 05:16:53 UTC,16.26.83.210@853,NOERROR,54.7
test16.example.test,2026-07-07 05:16:53 UTC,16.26.83.210@853,NOERROR,57.5
test17.example.test,2026-07-07 05:16:53 UTC,16.26.83.210@853,NOERROR,56.1
test18.example.test,2026-07-07 05:16:53 UTC,16.26.83.210@853,NOERROR,56.8
test19.example.test,2026-07-07 05:16:53 UTC,16.26.83.210@853,NOERROR,55.5
,,,,57.115
,,,,2.52654850901799
