Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-07 04:14:59 UTC,16.26.83.210@853,NOERROR,115.5
test0.example.test,2026-07-07 04:14:59 UTC,16.26.83.210@853,NOERROR,58.4
test1.example.test,2026-07-07 04:14:59 UTC,16.26.83.210@853,NOERROR,55.4
test2.example.test,2026-07-07 04:14:59 UTC,16.26.83.210@853,NOERROR,56.8
test3.example.test,2026-07-07 04:14:59 UTC,16.26.83.210@853,NOERROR,55.6
test4.example.test,2026-07-07 04:14:59 UTC,16.26.83.210@853,NOERROR,68.2
test5.example.test,2026-07-07 04:15:00 UTC,16.26.83.210@853,NOERROR,54.6
test6.example.test,2026-07-07 04:15:00 UTC,16.26.83.210@853,NOERROR,55.3
test7.example.test,2026-07-07 04:15:00 UTC,16.26.83.210@853,NOERROR,53.3
test8.example.test,2026-07-07 04:15:00 UTC,16.26.83.210@853,NOERROR,56.9
test9.example.test,2026-07-07 04:15:00 UTC,16.26.83.210@853,NOERROR,57.6
test10.example.test,2026-07-07 04:15:00 UTC,16.26.83.210@853,NOERROR,60.6
test11.example.test,2026-07-07 04:15:00 UTC,16.26.83.210@853,NOERROR,56.3
test12.example.test,2026-07-07 04:15:00 UTC,16.26.83.210@853,NOERROR,55.8
test13.example.test,2026-07-07 04:15:00 UTC,16.26.83.210@853,NOERROR,61.8
test14.example.test,2026-07-07 04:15:00 UTC,16.26.83.210@853,NOERROR,59.9
test15.example.test,2026-07-07 04:15:00 UTC,16.26.83.210@853,NOERROR,59.2
test16.example.test,2026-07-07 04:15:00 UTC,16.26.83.210@853,NOERROR,55.5
test17.example.test,2026-07-07 04:15:00 UTC,16.26.83.210@853,NOERROR,57.1
test18.example.test,2026-07-07 04:15:00 UTC,16.26.83.210@853,NOERROR,62.3
test19.example.test,2026-07-07 04:15:01 UTC,16.26.83.210@853,NOERROR,60.5
,,,,58.055
,,,,3.45032035125955
