Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-07 07:06:12 UTC,16.26.83.210@8853,NOERROR,194.5
test0.example.test,2026-07-07 07:06:12 UTC,16.26.83.210@8853,NOERROR,74.8
test1.example.test,2026-07-07 07:06:12 UTC,16.26.83.210@8853,NOERROR,77.8
test2.example.test,2026-07-07 07:06:12 UTC,16.26.83.210@8853,NOERROR,80.3
test3.example.test,2026-07-07 07:06:12 UTC,16.26.83.210@8853,NOERROR,75.2
test4.example.test,2026-07-07 07:06:12 UTC,16.26.83.210@8853,NOERROR,80.5
test5.example.test,2026-07-07 07:06:13 UTC,16.26.83.210@8853,NOERROR,77.6
test6.example.test,2026-07-07 07:06:13 UTC,16.26.83.210@8853,NOERROR,84.5
test7.example.test,2026-07-07 07:06:13 UTC,16.26.83.210@8853,NOERROR,75.1
test8.example.test,2026-07-07 07:06:13 UTC,16.26.83.210@8853,NOERROR,78.5
test9.example.test,2026-07-07 07:06:13 UTC,16.26.83.210@8853,NOERROR,86.4
test10.example.test,2026-07-07 07:06:13 UTC,16.26.83.210@8853,NOERROR,82.3
test11.example.test,2026-07-07 07:06:13 UTC,16.26.83.210@8853,NOERROR,77.5
test12.example.test,2026-07-07 07:06:13 UTC,16.26.83.210@8853,NOERROR,86.3
test13.example.test,2026-07-07 07:06:13 UTC,16.26.83.210@8853,NOERROR,80.2
test14.example.test,2026-07-07 07:06:13 UTC,16.26.83.210@8853,NOERROR,77.4
test15.example.test,2026-07-07 07:06:13 UTC,16.26.83.210@8853,NOERROR,74.5
test16.example.test,2026-07-07 07:06:14 UTC,16.26.83.210@8853,NOERROR,86.1
test17.example.test,2026-07-07 07:06:14 UTC,16.26.83.210@8853,NOERROR,82.1
test18.example.test,2026-07-07 07:06:14 UTC,16.26.83.210@8853,NOERROR,83.5
test19.example.test,2026-07-07 07:06:14 UTC,16.26.83.210@8853,NOERROR,82.4
,,,,80.15
,,,,3.94668415121779
