Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-07 04:53:23 UTC,16.26.83.210@8853,NOERROR,159.9
test0.example.test,2026-07-07 04:53:23 UTC,16.26.83.210@8853,NOERROR,82.4
test1.example.test,2026-07-07 04:53:24 UTC,16.26.83.210@8853,NOERROR,82.7
test2.example.test,2026-07-07 04:53:24 UTC,16.26.83.210@8853,NOERROR,79.4
test3.example.test,2026-07-07 04:53:24 UTC,16.26.83.210@8853,NOERROR,81
test4.example.test,2026-07-07 04:53:24 UTC,16.26.83.210@8853,NOERROR,88.8
test5.example.test,2026-07-07 04:53:24 UTC,16.26.83.210@8853,NOERROR,84.2
test6.example.test,2026-07-07 04:53:24 UTC,16.26.83.210@8853,NOERROR,85.8
test7.example.test,2026-07-07 04:53:24 UTC,16.26.83.210@8853,NOERROR,84
test8.example.test,2026-07-07 04:53:24 UTC,16.26.83.210@8853,NOERROR,85.8
test9.example.test,2026-07-07 04:53:24 UTC,16.26.83.210@8853,NOERROR,81
test10.example.test,2026-07-07 04:53:24 UTC,16.26.83.210@8853,NOERROR,79.3
test11.example.test,2026-07-07 04:53:25 UTC,16.26.83.210@8853,NOERROR,77.8
test12.example.test,2026-07-07 04:53:25 UTC,16.26.83.210@8853,NOERROR,83.5
test13.example.test,2026-07-07 04:53:25 UTC,16.26.83.210@8853,NOERROR,80.3
test14.example.test,2026-07-07 04:53:25 UTC,16.26.83.210@8853,NOERROR,81.9
test15.example.test,2026-07-07 04:53:25 UTC,16.26.83.210@8853,NOERROR,77.1
test16.example.test,2026-07-07 04:53:25 UTC,16.26.83.210@8853,NOERROR,83.1
test17.example.test,2026-07-07 04:53:25 UTC,16.26.83.210@8853,NOERROR,87.7
test18.example.test,2026-07-07 04:53:25 UTC,16.26.83.210@8853,NOERROR,78.5
test19.example.test,2026-07-07 04:53:25 UTC,16.26.83.210@8853,NOERROR,84.3
,,,,82.43
,,,,3.20363280634575
