Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-07 04:16:43 UTC,16.26.83.210@8853,NOERROR,162.9
test0.example.test,2026-07-07 04:16:43 UTC,16.26.83.210@8853,NOERROR,87.9
test1.example.test,2026-07-07 04:16:43 UTC,16.26.83.210@8853,NOERROR,82.6
test2.example.test,2026-07-07 04:16:44 UTC,16.26.83.210@8853,NOERROR,73.5
test3.example.test,2026-07-07 04:16:44 UTC,16.26.83.210@8853,NOERROR,89.3
test4.example.test,2026-07-07 04:16:44 UTC,16.26.83.210@8853,NOERROR,78.5
test5.example.test,2026-07-07 04:16:44 UTC,16.26.83.210@8853,NOERROR,80.4
test6.example.test,2026-07-07 04:16:44 UTC,16.26.83.210@8853,NOERROR,82.3
test7.example.test,2026-07-07 04:16:44 UTC,16.26.83.210@8853,NOERROR,78.8
test8.example.test,2026-07-07 04:16:44 UTC,16.26.83.210@8853,NOERROR,74.8
test9.example.test,2026-07-07 04:16:44 UTC,16.26.83.210@8853,NOERROR,80.4
test10.example.test,2026-07-07 04:16:44 UTC,16.26.83.210@8853,NOERROR,88
test11.example.test,2026-07-07 04:16:44 UTC,16.26.83.210@8853,NOERROR,79.7
test12.example.test,2026-07-07 04:16:44 UTC,16.26.83.210@8853,NOERROR,77.8
test13.example.test,2026-07-07 04:16:45 UTC,16.26.83.210@8853,NOERROR,82.3
test14.example.test,2026-07-07 04:16:45 UTC,16.26.83.210@8853,NOERROR,78.7
test15.example.test,2026-07-07 04:16:45 UTC,16.26.83.210@8853,NOERROR,82.9
test16.example.test,2026-07-07 04:16:45 UTC,16.26.83.210@8853,NOERROR,80.9
test17.example.test,2026-07-07 04:16:45 UTC,16.26.83.210@8853,NOERROR,79.8
test18.example.test,2026-07-07 04:16:45 UTC,16.26.83.210@8853,NOERROR,80.2
test19.example.test,2026-07-07 04:16:45 UTC,16.26.83.210@8853,NOERROR,82.4
,,,,81.06
,,,,3.99175465969013
