Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-07 06:27:06 UTC,16.26.83.210@8853,NOERROR,167.5
test0.example.test,2026-07-07 06:27:06 UTC,16.26.83.210@8853,NOERROR,79.5
test1.example.test,2026-07-07 06:27:07 UTC,16.26.83.210@8853,NOERROR,82.5
test2.example.test,2026-07-07 06:27:07 UTC,16.26.83.210@8853,NOERROR,83.2
test3.example.test,2026-07-07 06:27:07 UTC,16.26.83.210@8853,NOERROR,87
test4.example.test,2026-07-07 06:27:07 UTC,16.26.83.210@8853,NOERROR,81.4
test5.example.test,2026-07-07 06:27:07 UTC,16.26.83.210@8853,NOERROR,75
test6.example.test,2026-07-07 06:27:07 UTC,16.26.83.210@8853,NOERROR,80.6
test7.example.test,2026-07-07 06:27:07 UTC,16.26.83.210@8853,NOERROR,72.5
test8.example.test,2026-07-07 06:27:07 UTC,16.26.83.210@8853,NOERROR,76.1
test9.example.test,2026-07-07 06:27:07 UTC,16.26.83.210@8853,NOERROR,79.5
test10.example.test,2026-07-07 06:27:07 UTC,16.26.83.210@8853,NOERROR,80.2
test11.example.test,2026-07-07 06:27:07 UTC,16.26.83.210@8853,NOERROR,77
test12.example.test,2026-07-07 06:27:08 UTC,16.26.83.210@8853,NOERROR,79.5
test13.example.test,2026-07-07 06:27:08 UTC,16.26.83.210@8853,NOERROR,80.6
test14.example.test,2026-07-07 06:27:08 UTC,16.26.83.210@8853,NOERROR,78.1
test15.example.test,2026-07-07 06:27:08 UTC,16.26.83.210@8853,NOERROR,83.2
test16.example.test,2026-07-07 06:27:08 UTC,16.26.83.210@8853,NOERROR,77.7
test17.example.test,2026-07-07 06:27:08 UTC,16.26.83.210@8853,NOERROR,76.1
test18.example.test,2026-07-07 06:27:08 UTC,16.26.83.210@8853,NOERROR,86.1
test19.example.test,2026-07-07 06:27:08 UTC,16.26.83.210@8853,NOERROR,84.1
,,,,79.995
,,,,3.71900878135418
