"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 05:10:17 UTC","16.26.83.210@53","NOERROR","102.3"
"test0.example.test","2026-07-07 05:10:17 UTC","16.26.83.210@53","NOERROR","48.0"
"test1.example.test","2026-07-07 05:10:17 UTC","16.26.83.210@53","NOERROR","50.1"
"test2.example.test","2026-07-07 05:10:17 UTC","16.26.83.210@53","NOERROR","48.6"
"test3.example.test","2026-07-07 05:10:17 UTC","16.26.83.210@53","NOERROR","51.9"
"test4.example.test","2026-07-07 05:10:17 UTC","16.26.83.210@53","NOERROR","55.9"
"test5.example.test","2026-07-07 05:10:17 UTC","16.26.83.210@53","NOERROR","51.5"
"test6.example.test","2026-07-07 05:10:17 UTC","16.26.83.210@53","NOERROR","52.8"
"test7.example.test","2026-07-07 05:10:18 UTC","16.26.83.210@53","NOERROR","50.8"
"test8.example.test","2026-07-07 05:10:18 UTC","16.26.83.210@53","NOERROR","48.0"
"test9.example.test","2026-07-07 05:10:18 UTC","16.26.83.210@53","NOERROR","48.3"
"test10.example.test","2026-07-07 05:10:18 UTC","16.26.83.210@53","NOERROR","48.4"
"test11.example.test","2026-07-07 05:10:18 UTC","16.26.83.210@53","NOERROR","53.8"
"test12.example.test","2026-07-07 05:10:18 UTC","16.26.83.210@53","NOERROR","51.2"
"test13.example.test","2026-07-07 05:10:18 UTC","16.26.83.210@53","NOERROR","47.4"
"test14.example.test","2026-07-07 05:10:18 UTC","16.26.83.210@53","NOERROR","53.7"
"test15.example.test","2026-07-07 05:10:18 UTC","16.26.83.210@53","NOERROR","48.8"
"test16.example.test","2026-07-07 05:10:18 UTC","16.26.83.210@53","NOERROR","57.2"
"test17.example.test","2026-07-07 05:10:18 UTC","16.26.83.210@53","NOERROR","48.2"
"test18.example.test","2026-07-07 05:10:18 UTC","16.26.83.210@53","NOERROR","54.7"
"test19.example.test","2026-07-07 05:10:18 UTC","16.26.83.210@53","NOERROR","52.6"
