Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-07 04:18:52 UTC,16.26.83.210@53,NOERROR,114.6
test0.example.test,2026-07-07 04:18:52 UTC,16.26.83.210@53,NOERROR,53
test1.example.test,2026-07-07 04:18:52 UTC,16.26.83.210@53,NOERROR,47.3
test2.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,51.1
test3.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,57.4
test4.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,48.3
test5.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,55.1
test6.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,49.2
test7.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,52.7
test8.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,52.3
test9.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,47.2
test10.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,48.3
test11.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,54.7
test12.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,53.8
test13.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,50.9
test14.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,57.3
test15.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,50.9
test16.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,54.1
test17.example.test,2026-07-07 04:18:53 UTC,16.26.83.210@53,NOERROR,53.6
test18.example.test,2026-07-07 04:18:54 UTC,16.26.83.210@53,NOERROR,51.2
test19.example.test,2026-07-07 04:18:54 UTC,16.26.83.210@53,NOERROR,47.4
,,,,51.79
,,,,3.16592050304156
