Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-07 06:10:24 UTC,16.26.83.210@53,NOERROR,100.2
test0.example.test,2026-07-07 06:10:24 UTC,16.26.83.210@53,NOERROR,47.7
test1.example.test,2026-07-07 06:10:24 UTC,16.26.83.210@53,NOERROR,52
test2.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,49.9
test3.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,52.3
test4.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,49.3
test5.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,52.9
test6.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,48.6
test7.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,51
test8.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,51.9
test9.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,52.2
test10.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,52.3
test11.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,52.3
test12.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,51.6
test13.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,52.7
test14.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,54.1
test15.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,49.4
test16.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,53.5
test17.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,49.7
test18.example.test,2026-07-07 06:10:25 UTC,16.26.83.210@53,NOERROR,50.3
test19.example.test,2026-07-07 06:10:26 UTC,16.26.83.210@53,NOERROR,57.5
,,,,51.56
,,,,2.20654528738097
