Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-07 06:12:51 UTC,16.26.83.210@53,NOERROR,106.1
test0.example.test,2026-07-07 06:12:51 UTC,16.26.83.210@53,NOERROR,54.1
test1.example.test,2026-07-07 06:12:51 UTC,16.26.83.210@53,NOERROR,48.2
test2.example.test,2026-07-07 06:12:51 UTC,16.26.83.210@53,NOERROR,48
test3.example.test,2026-07-07 06:12:51 UTC,16.26.83.210@53,NOERROR,46.8
test4.example.test,2026-07-07 06:12:51 UTC,16.26.83.210@53,NOERROR,51
test5.example.test,2026-07-07 06:12:51 UTC,16.26.83.210@53,NOERROR,47.4
test6.example.test,2026-07-07 06:12:51 UTC,16.26.83.210@53,NOERROR,49.9
test7.example.test,2026-07-07 06:12:51 UTC,16.26.83.210@53,NOERROR,52.2
test8.example.test,2026-07-07 06:12:51 UTC,16.26.83.210@53,NOERROR,51.3
test9.example.test,2026-07-07 06:12:52 UTC,16.26.83.210@53,NOERROR,52.5
test10.example.test,2026-07-07 06:12:52 UTC,16.26.83.210@53,NOERROR,51.3
test11.example.test,2026-07-07 06:12:52 UTC,16.26.83.210@53,NOERROR,49
test12.example.test,2026-07-07 06:12:52 UTC,16.26.83.210@53,NOERROR,50.3
test13.example.test,2026-07-07 06:12:52 UTC,16.26.83.210@53,NOERROR,52
test14.example.test,2026-07-07 06:12:52 UTC,16.26.83.210@53,NOERROR,49
test15.example.test,2026-07-07 06:12:52 UTC,16.26.83.210@53,NOERROR,52
test16.example.test,2026-07-07 06:12:52 UTC,16.26.83.210@53,NOERROR,52.8
test17.example.test,2026-07-07 06:12:52 UTC,16.26.83.210@53,NOERROR,49.8
test18.example.test,2026-07-07 06:12:52 UTC,16.26.83.210@53,NOERROR,56.1
test19.example.test,2026-07-07 06:12:52 UTC,16.26.83.210@53,NOERROR,55.2
,,,,50.945
,,,,2.5224205167176
