"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 05:20:47 UTC","16.26.83.210@53","NOERROR","78.1"
"test0.example.test","2026-07-07 05:20:47 UTC","16.26.83.210@53","NOERROR","49.2"
"test1.example.test","2026-07-07 05:20:47 UTC","16.26.83.210@53","NOERROR","50.8"
"test2.example.test","2026-07-07 05:20:47 UTC","16.26.83.210@53","NOERROR","57.2"
"test3.example.test","2026-07-07 05:20:47 UTC","16.26.83.210@53","NOERROR","52.9"
"test4.example.test","2026-07-07 05:20:47 UTC","16.26.83.210@53","NOERROR","53.8"
"test5.example.test","2026-07-07 05:20:47 UTC","16.26.83.210@53","NOERROR","52.4"
"test6.example.test","2026-07-07 05:20:47 UTC","16.26.83.210@53","NOERROR","49.5"
"test7.example.test","2026-07-07 05:20:47 UTC","16.26.83.210@53","NOERROR","49.3"
"test8.example.test","2026-07-07 05:20:48 UTC","16.26.83.210@53","NOERROR","52.0"
"test9.example.test","2026-07-07 05:20:48 UTC","16.26.83.210@53","NOERROR","49.6"
"test10.example.test","2026-07-07 05:20:48 UTC","16.26.83.210@53","NOERROR","54.9"
"test11.example.test","2026-07-07 05:20:48 UTC","16.26.83.210@53","NOERROR","52.9"
"test12.example.test","2026-07-07 05:20:48 UTC","16.26.83.210@53","NOERROR","50.8"
"test13.example.test","2026-07-07 05:20:48 UTC","16.26.83.210@53","NOERROR","48.2"
"test14.example.test","2026-07-07 05:20:48 UTC","16.26.83.210@53","NOERROR","49.6"
"test15.example.test","2026-07-07 05:20:48 UTC","16.26.83.210@53","NOERROR","50.6"
"test16.example.test","2026-07-07 05:20:48 UTC","16.26.83.210@53","NOERROR","53.3"
"test17.example.test","2026-07-07 05:20:48 UTC","16.26.83.210@53","NOERROR","49.7"
"test18.example.test","2026-07-07 05:20:48 UTC","16.26.83.210@53","NOERROR","56.0"
"test19.example.test","2026-07-07 05:20:48 UTC","16.26.83.210@53","NOERROR","47.7"
