"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 04:49:01 UTC","16.26.83.210@53","NOERROR","79.6"
"test0.example.test","2026-07-07 04:49:01 UTC","16.26.83.210@53","NOERROR","54.7"
"test1.example.test","2026-07-07 04:49:01 UTC","16.26.83.210@53","NOERROR","54.8"
"test2.example.test","2026-07-07 04:49:01 UTC","16.26.83.210@53","NOERROR","57.6"
"test3.example.test","2026-07-07 04:49:01 UTC","16.26.83.210@53","NOERROR","59.6"
"test4.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","61.0"
"test5.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","54.8"
"test6.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","54.7"
"test7.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","63.5"
"test8.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","61.6"
"test9.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","52.4"
"test10.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","56.4"
"test11.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","53.2"
"test12.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","52.2"
"test13.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","53.3"
"test14.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","54.4"
"test15.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","50.0"
"test16.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","53.4"
"test17.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","52.7"
"test18.example.test","2026-07-07 04:49:02 UTC","16.26.83.210@53","NOERROR","51.2"
"test19.example.test","2026-07-07 04:49:03 UTC","16.26.83.210@53","NOERROR","56.1"
