Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,54.1
test0.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,24.4
test1.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,25
test2.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,26.1
test3.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,26.9
test4.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,26.2
test5.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,25.5
test6.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,25
test7.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,26.7
test8.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,25.4
test9.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,26.1
test10.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,25.2
test11.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,27.6
test12.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,26.1
test13.example.test,2026-07-07 06:03:47 UTC,16.26.83.210@53,NOERROR,28.2
test14.example.test,2026-07-07 06:03:48 UTC,16.26.83.210@53,NOERROR,24.7
test15.example.test,2026-07-07 06:03:48 UTC,16.26.83.210@53,NOERROR,27.7
test16.example.test,2026-07-07 06:03:48 UTC,16.26.83.210@53,NOERROR,25.9
test17.example.test,2026-07-07 06:03:48 UTC,16.26.83.210@53,NOERROR,25.9
test18.example.test,2026-07-07 06:03:48 UTC,16.26.83.210@53,NOERROR,25
test19.example.test,2026-07-07 06:03:48 UTC,16.26.83.210@53,NOERROR,27
,,,,26.03
,,,,1.05536224761179
