Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-07 06:18:31 UTC,16.26.83.210@53,NOERROR,50.9
test0.example.test,2026-07-07 06:18:31 UTC,16.26.83.210@53,NOERROR,24.8
test1.example.test,2026-07-07 06:18:31 UTC,16.26.83.210@53,NOERROR,26.9
test2.example.test,2026-07-07 06:18:31 UTC,16.26.83.210@53,NOERROR,24.9
test3.example.test,2026-07-07 06:18:31 UTC,16.26.83.210@53,NOERROR,25.6
test4.example.test,2026-07-07 06:18:31 UTC,16.26.83.210@53,NOERROR,24.9
test5.example.test,2026-07-07 06:18:31 UTC,16.26.83.210@53,NOERROR,25.4
test6.example.test,2026-07-07 06:18:31 UTC,16.26.83.210@53,NOERROR,26
test7.example.test,2026-07-07 06:18:31 UTC,16.26.83.210@53,NOERROR,25
test8.example.test,2026-07-07 06:18:31 UTC,16.26.83.210@53,NOERROR,24.5
test9.example.test,2026-07-07 06:18:31 UTC,16.26.83.210@53,NOERROR,24.9
test10.example.test,2026-07-07 06:18:31 UTC,16.26.83.210@53,NOERROR,25.2
test11.example.test,2026-07-07 06:18:31 UTC,16.26.83.210@53,NOERROR,25.4
test12.example.test,2026-07-07 06:18:32 UTC,16.26.83.210@53,NOERROR,26.8
test13.example.test,2026-07-07 06:18:32 UTC,16.26.83.210@53,NOERROR,26.7
test14.example.test,2026-07-07 06:18:32 UTC,16.26.83.210@53,NOERROR,24.4
test15.example.test,2026-07-07 06:18:32 UTC,16.26.83.210@53,NOERROR,24.1
test16.example.test,2026-07-07 06:18:32 UTC,16.26.83.210@53,NOERROR,25.4
test17.example.test,2026-07-07 06:18:32 UTC,16.26.83.210@53,NOERROR,28.6
test18.example.test,2026-07-07 06:18:32 UTC,16.26.83.210@53,NOERROR,25.7
test19.example.test,2026-07-07 06:18:32 UTC,16.26.83.210@53,NOERROR,24
,,,,25.46
,,,,1.10805662025197
