"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-14 04:00:18 UTC","16.51.38.176@853","NOERROR","117.1"
"test0.example.test","2026-07-14 04:00:18 UTC","16.51.38.176@853","NOERROR","53.2"
"test1.example.test","2026-07-14 04:00:18 UTC","16.51.38.176@853","NOERROR","55.3"
"test2.example.test","2026-07-14 04:00:18 UTC","16.51.38.176@853","NOERROR","58.2"
"test3.example.test","2026-07-14 04:00:18 UTC","16.51.38.176@853","NOERROR","54.9"
"test4.example.test","2026-07-14 04:00:18 UTC","16.51.38.176@853","NOERROR","55.7"
"test5.example.test","2026-07-14 04:00:18 UTC","16.51.38.176@853","NOERROR","55.4"
"test6.example.test","2026-07-14 04:00:18 UTC","16.51.38.176@853","NOERROR","57.2"
"test7.example.test","2026-07-14 04:00:18 UTC","16.51.38.176@853","NOERROR","57.6"
"test8.example.test","2026-07-14 04:00:18 UTC","16.51.38.176@853","NOERROR","55.8"
"test9.example.test","2026-07-14 04:00:18 UTC","16.51.38.176@853","NOERROR","54.1"
"test10.example.test","2026-07-14 04:00:18 UTC","16.51.38.176@853","NOERROR","56.5"
"test11.example.test","2026-07-14 04:00:18 UTC","16.51.38.176@853","NOERROR","53.7"
"test12.example.test","2026-07-14 04:00:18 UTC","16.51.38.176@853","NOERROR","53.7"
"test13.example.test","2026-07-14 04:00:19 UTC","16.51.38.176@853","NOERROR","57.5"
"test14.example.test","2026-07-14 04:00:19 UTC","16.51.38.176@853","NOERROR","54.6"
"test15.example.test","2026-07-14 04:00:19 UTC","16.51.38.176@853","NOERROR","54.4"
"test16.example.test","2026-07-14 04:00:19 UTC","16.51.38.176@853","NOERROR","56.5"
"test17.example.test","2026-07-14 04:00:19 UTC","16.51.38.176@853","NOERROR","55.3"
"test18.example.test","2026-07-14 04:00:19 UTC","16.51.38.176@853","NOERROR","59.5"
"test19.example.test","2026-07-14 04:00:19 UTC","16.51.38.176@853","NOERROR","54.9"
