"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-14 04:29:30 UTC","16.51.38.176@53","NOERROR","40.6"
"test0.example.test","2026-07-14 04:29:30 UTC","16.51.38.176@53","NOERROR","42.9"
"test1.example.test","2026-07-14 04:29:30 UTC","16.51.38.176@53","NOERROR","38.8"
"test2.example.test","2026-07-14 04:29:30 UTC","16.51.38.176@53","NOERROR","39.6"
"test3.example.test","2026-07-14 04:29:30 UTC","16.51.38.176@53","NOERROR","40.8"
"test4.example.test","2026-07-14 04:29:30 UTC","16.51.38.176@53","NOERROR","39.0"
"test5.example.test","2026-07-14 04:29:30 UTC","16.51.38.176@53","NOERROR","40.3"
"test6.example.test","2026-07-14 04:29:30 UTC","16.51.38.176@53","NOERROR","41.4"
"test7.example.test","2026-07-14 04:29:30 UTC","16.51.38.176@53","NOERROR","40.8"
"test8.example.test","2026-07-14 04:29:30 UTC","16.51.38.176@53","NOERROR","42.5"
"test9.example.test","2026-07-14 04:29:31 UTC","16.51.38.176@53","NOERROR","43.0"
"test10.example.test","2026-07-14 04:29:31 UTC","16.51.38.176@53","NOERROR","40.4"
"test11.example.test","2026-07-14 04:29:31 UTC","16.51.38.176@53","NOERROR","39.4"
"test12.example.test","2026-07-14 04:29:31 UTC","16.51.38.176@53","NOERROR","40.1"
"test13.example.test","2026-07-14 04:29:31 UTC","16.51.38.176@53","NOERROR","41.5"
"test14.example.test","2026-07-14 04:29:31 UTC","16.51.38.176@53","NOERROR","41.9"
"test15.example.test","2026-07-14 04:29:31 UTC","16.51.38.176@53","NOERROR","38.0"
"test16.example.test","2026-07-14 04:29:31 UTC","16.51.38.176@53","NOERROR","40.6"
"test17.example.test","2026-07-14 04:29:31 UTC","16.51.38.176@53","NOERROR","42.2"
"test18.example.test","2026-07-14 04:29:31 UTC","16.51.38.176@53","NOERROR","43.7"
"test19.example.test","2026-07-14 04:29:31 UTC","16.51.38.176@53","NOERROR","41.8"
