"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-14 03:53:11 UTC","16.51.38.176@853","NOERROR","118.8"
"test0.example.test","2026-07-14 03:53:11 UTC","16.51.38.176@853","NOERROR","55.4"
"test1.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","57.1"
"test2.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","66.6"
"test3.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","63.1"
"test4.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","61.1"
"test5.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","64.3"
"test6.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","59.8"
"test7.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","57.0"
"test8.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","55.4"
"test9.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","57.9"
"test10.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","59.6"
"test11.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","59.4"
"test12.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","57.9"
"test13.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","56.3"
"test14.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","63.3"
"test15.example.test","2026-07-14 03:53:12 UTC","16.51.38.176@853","NOERROR","60.9"
"test16.example.test","2026-07-14 03:53:13 UTC","16.51.38.176@853","NOERROR","59.9"
"test17.example.test","2026-07-14 03:53:13 UTC","16.51.38.176@853","NOERROR","56.7"
"test18.example.test","2026-07-14 03:53:13 UTC","16.51.38.176@853","NOERROR","57.4"
"test19.example.test","2026-07-14 03:53:13 UTC","16.51.38.176@853","NOERROR","57.9"
