"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-14 03:23:02 UTC","16.51.38.176@853","NOERROR","112.0"
"test0.example.test","2026-07-14 03:23:02 UTC","16.51.38.176@853","NOERROR","42.2"
"test1.example.test","2026-07-14 03:23:02 UTC","16.51.38.176@853","NOERROR","43.2"
"test2.example.test","2026-07-14 03:23:02 UTC","16.51.38.176@853","NOERROR","45.9"
"test3.example.test","2026-07-14 03:23:02 UTC","16.51.38.176@853","NOERROR","44.6"
"test4.example.test","2026-07-14 03:23:02 UTC","16.51.38.176@853","NOERROR","45.6"
"test5.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","42.4"
"test6.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","43.9"
"test7.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","46.4"
"test8.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","46.6"
"test9.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","41.3"
"test10.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","42.1"
"test11.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","45.0"
"test12.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","40.9"
"test13.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","42.3"
"test14.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","41.6"
"test15.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","47.4"
"test16.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","44.6"
"test17.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","40.3"
"test18.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","41.1"
"test19.example.test","2026-07-14 03:23:03 UTC","16.51.38.176@853","NOERROR","43.4"
