"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-14 03:39:21 UTC","16.51.38.176@8853","NOERROR","166.2"
"test0.example.test","2026-07-14 03:39:21 UTC","16.51.38.176@8853","NOERROR","79.9"
"test1.example.test","2026-07-14 03:39:21 UTC","16.51.38.176@8853","NOERROR","80.4"
"test2.example.test","2026-07-14 03:39:21 UTC","16.51.38.176@8853","NOERROR","78.1"
"test3.example.test","2026-07-14 03:39:21 UTC","16.51.38.176@8853","NOERROR","73.7"
"test4.example.test","2026-07-14 03:39:21 UTC","16.51.38.176@8853","NOERROR","79.5"
"test5.example.test","2026-07-14 03:39:21 UTC","16.51.38.176@8853","NOERROR","80.3"
"test6.example.test","2026-07-14 03:39:21 UTC","16.51.38.176@8853","NOERROR","78.9"
"test7.example.test","2026-07-14 03:39:21 UTC","16.51.38.176@8853","NOERROR","77.9"
"test8.example.test","2026-07-14 03:39:21 UTC","16.51.38.176@8853","NOERROR","75.8"
"test9.example.test","2026-07-14 03:39:22 UTC","16.51.38.176@8853","NOERROR","76.5"
"test10.example.test","2026-07-14 03:39:22 UTC","16.51.38.176@8853","NOERROR","77.5"
"test11.example.test","2026-07-14 03:39:22 UTC","16.51.38.176@8853","NOERROR","78.3"
"test12.example.test","2026-07-14 03:39:22 UTC","16.51.38.176@8853","NOERROR","83.2"
"test13.example.test","2026-07-14 03:39:22 UTC","16.51.38.176@8853","NOERROR","79.4"
"test14.example.test","2026-07-14 03:39:22 UTC","16.51.38.176@8853","NOERROR","84.0"
"test15.example.test","2026-07-14 03:39:22 UTC","16.51.38.176@8853","NOERROR","77.6"
"test16.example.test","2026-07-14 03:39:22 UTC","16.51.38.176@8853","NOERROR","79.6"
"test17.example.test","2026-07-14 03:39:22 UTC","16.51.38.176@8853","NOERROR","78.0"
"test18.example.test","2026-07-14 03:39:22 UTC","16.51.38.176@8853","NOERROR","83.4"
"test19.example.test","2026-07-14 03:39:22 UTC","16.51.38.176@8853","NOERROR","82.3"
