"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-14 03:51:34 UTC","16.51.38.176@8853","NOERROR","159.0"
"test0.example.test","2026-07-14 03:51:34 UTC","16.51.38.176@8853","NOERROR","77.0"
"test1.example.test","2026-07-14 03:51:34 UTC","16.51.38.176@8853","NOERROR","82.5"
"test2.example.test","2026-07-14 03:51:34 UTC","16.51.38.176@8853","NOERROR","87.8"
"test3.example.test","2026-07-14 03:51:34 UTC","16.51.38.176@8853","NOERROR","74.7"
"test4.example.test","2026-07-14 03:51:34 UTC","16.51.38.176@8853","NOERROR","75.7"
"test5.example.test","2026-07-14 03:51:34 UTC","16.51.38.176@8853","NOERROR","81.7"
"test6.example.test","2026-07-14 03:51:35 UTC","16.51.38.176@8853","NOERROR","80.1"
"test7.example.test","2026-07-14 03:51:35 UTC","16.51.38.176@8853","NOERROR","77.2"
"test8.example.test","2026-07-14 03:51:35 UTC","16.51.38.176@8853","NOERROR","81.7"
"test9.example.test","2026-07-14 03:51:35 UTC","16.51.38.176@8853","NOERROR","78.8"
"test10.example.test","2026-07-14 03:51:35 UTC","16.51.38.176@8853","NOERROR","82.8"
"test11.example.test","2026-07-14 03:51:35 UTC","16.51.38.176@8853","NOERROR","79.3"
"test12.example.test","2026-07-14 03:51:35 UTC","16.51.38.176@8853","NOERROR","78.6"
"test13.example.test","2026-07-14 03:51:35 UTC","16.51.38.176@8853","NOERROR","83.6"
"test14.example.test","2026-07-14 03:51:35 UTC","16.51.38.176@8853","NOERROR","76.7"
"test15.example.test","2026-07-14 03:51:35 UTC","16.51.38.176@8853","NOERROR","80.0"
"test16.example.test","2026-07-14 03:51:35 UTC","16.51.38.176@8853","NOERROR","76.3"
"test17.example.test","2026-07-14 03:51:36 UTC","16.51.38.176@8853","NOERROR","81.5"
"test18.example.test","2026-07-14 03:51:36 UTC","16.51.38.176@8853","NOERROR","76.0"
"test19.example.test","2026-07-14 03:51:36 UTC","16.51.38.176@8853","NOERROR","86.7"
