"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-14 03:41:17 UTC","16.51.38.176@8853","NOERROR","159.9"
"test0.example.test","2026-07-14 03:41:17 UTC","16.51.38.176@8853","NOERROR","79.1"
"test1.example.test","2026-07-14 03:41:17 UTC","16.51.38.176@8853","NOERROR","82.1"
"test2.example.test","2026-07-14 03:41:17 UTC","16.51.38.176@8853","NOERROR","82.5"
"test3.example.test","2026-07-14 03:41:17 UTC","16.51.38.176@8853","NOERROR","79.2"
"test4.example.test","2026-07-14 03:41:17 UTC","16.51.38.176@8853","NOERROR","80.1"
"test5.example.test","2026-07-14 03:41:17 UTC","16.51.38.176@8853","NOERROR","79.0"
"test6.example.test","2026-07-14 03:41:17 UTC","16.51.38.176@8853","NOERROR","80.0"
"test7.example.test","2026-07-14 03:41:17 UTC","16.51.38.176@8853","NOERROR","85.4"
"test8.example.test","2026-07-14 03:41:17 UTC","16.51.38.176@8853","NOERROR","82.2"
"test9.example.test","2026-07-14 03:41:18 UTC","16.51.38.176@8853","NOERROR","80.2"
"test10.example.test","2026-07-14 03:41:18 UTC","16.51.38.176@8853","NOERROR","72.7"
"test11.example.test","2026-07-14 03:41:18 UTC","16.51.38.176@8853","NOERROR","81.1"
"test12.example.test","2026-07-14 03:41:18 UTC","16.51.38.176@8853","NOERROR","82.9"
"test13.example.test","2026-07-14 03:41:18 UTC","16.51.38.176@8853","NOERROR","74.4"
"test14.example.test","2026-07-14 03:41:18 UTC","16.51.38.176@8853","NOERROR","77.3"
"test15.example.test","2026-07-14 03:41:18 UTC","16.51.38.176@8853","NOERROR","77.8"
"test16.example.test","2026-07-14 03:41:18 UTC","16.51.38.176@8853","NOERROR","84.8"
"test17.example.test","2026-07-14 03:41:18 UTC","16.51.38.176@8853","NOERROR","80.7"
"test18.example.test","2026-07-14 03:41:18 UTC","16.51.38.176@8853","NOERROR","79.4"
"test19.example.test","2026-07-14 03:41:18 UTC","16.51.38.176@8853","NOERROR","78.5"
