"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-14 03:49:47 UTC","16.51.38.176@8853","NOERROR","162.4"
"test0.example.test","2026-07-14 03:49:47 UTC","16.51.38.176@8853","NOERROR","77.2"
"test1.example.test","2026-07-14 03:49:47 UTC","16.51.38.176@8853","NOERROR","83.8"
"test2.example.test","2026-07-14 03:49:47 UTC","16.51.38.176@8853","NOERROR","80.8"
"test3.example.test","2026-07-14 03:49:48 UTC","16.51.38.176@8853","NOERROR","76.6"
"test4.example.test","2026-07-14 03:49:48 UTC","16.51.38.176@8853","NOERROR","87.5"
"test5.example.test","2026-07-14 03:49:48 UTC","16.51.38.176@8853","NOERROR","84.2"
"test6.example.test","2026-07-14 03:49:48 UTC","16.51.38.176@8853","NOERROR","79.2"
"test7.example.test","2026-07-14 03:49:48 UTC","16.51.38.176@8853","NOERROR","77.1"
"test8.example.test","2026-07-14 03:49:48 UTC","16.51.38.176@8853","NOERROR","81.1"
"test9.example.test","2026-07-14 03:49:48 UTC","16.51.38.176@8853","NOERROR","83.4"
"test10.example.test","2026-07-14 03:49:48 UTC","16.51.38.176@8853","NOERROR","79.5"
"test11.example.test","2026-07-14 03:49:48 UTC","16.51.38.176@8853","NOERROR","83.2"
"test12.example.test","2026-07-14 03:49:48 UTC","16.51.38.176@8853","NOERROR","80.1"
"test13.example.test","2026-07-14 03:49:49 UTC","16.51.38.176@8853","NOERROR","83.7"
"test14.example.test","2026-07-14 03:49:49 UTC","16.51.38.176@8853","NOERROR","75.2"
"test15.example.test","2026-07-14 03:49:49 UTC","16.51.38.176@8853","NOERROR","81.4"
"test16.example.test","2026-07-14 03:49:49 UTC","16.51.38.176@8853","NOERROR","82.2"
"test17.example.test","2026-07-14 03:49:49 UTC","16.51.38.176@8853","NOERROR","80.9"
"test18.example.test","2026-07-14 03:49:49 UTC","16.51.38.176@8853","NOERROR","80.4"
"test19.example.test","2026-07-14 03:49:49 UTC","16.51.38.176@8853","NOERROR","86.5"
