"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-14 03:43:12 UTC","16.51.38.176@53","NOERROR","104.4"
"test0.example.test","2026-07-14 03:43:12 UTC","16.51.38.176@53","NOERROR","47.6"
"test1.example.test","2026-07-14 03:43:12 UTC","16.51.38.176@53","NOERROR","49.2"
"test2.example.test","2026-07-14 03:43:12 UTC","16.51.38.176@53","NOERROR","53.3"
"test3.example.test","2026-07-14 03:43:12 UTC","16.51.38.176@53","NOERROR","52.0"
"test4.example.test","2026-07-14 03:43:12 UTC","16.51.38.176@53","NOERROR","50.2"
"test5.example.test","2026-07-14 03:43:12 UTC","16.51.38.176@53","NOERROR","47.8"
"test6.example.test","2026-07-14 03:43:12 UTC","16.51.38.176@53","NOERROR","48.7"
"test7.example.test","2026-07-14 03:43:12 UTC","16.51.38.176@53","NOERROR","49.0"
"test8.example.test","2026-07-14 03:43:12 UTC","16.51.38.176@53","NOERROR","54.2"
"test9.example.test","2026-07-14 03:43:13 UTC","16.51.38.176@53","NOERROR","52.4"
"test10.example.test","2026-07-14 03:43:13 UTC","16.51.38.176@53","NOERROR","52.9"
"test11.example.test","2026-07-14 03:43:13 UTC","16.51.38.176@53","NOERROR","47.5"
"test12.example.test","2026-07-14 03:43:13 UTC","16.51.38.176@53","NOERROR","53.9"
"test13.example.test","2026-07-14 03:43:13 UTC","16.51.38.176@53","NOERROR","50.2"
"test14.example.test","2026-07-14 03:43:13 UTC","16.51.38.176@53","NOERROR","48.7"
"test15.example.test","2026-07-14 03:43:13 UTC","16.51.38.176@53","NOERROR","52.9"
"test16.example.test","2026-07-14 03:43:13 UTC","16.51.38.176@53","NOERROR","51.6"
"test17.example.test","2026-07-14 03:43:13 UTC","16.51.38.176@53","NOERROR","50.7"
"test18.example.test","2026-07-14 03:43:13 UTC","16.51.38.176@53","NOERROR","49.6"
"test19.example.test","2026-07-14 03:43:13 UTC","16.51.38.176@53","NOERROR","47.3"
