"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-14 03:37:26 UTC","16.51.38.176@53","NOERROR","80.1"
"test0.example.test","2026-07-14 03:37:26 UTC","16.51.38.176@53","NOERROR","51.8"
"test1.example.test","2026-07-14 03:37:26 UTC","16.51.38.176@53","NOERROR","52.4"
"test2.example.test","2026-07-14 03:37:26 UTC","16.51.38.176@53","NOERROR","51.8"
"test3.example.test","2026-07-14 03:37:26 UTC","16.51.38.176@53","NOERROR","48.1"
"test4.example.test","2026-07-14 03:37:26 UTC","16.51.38.176@53","NOERROR","50.0"
"test5.example.test","2026-07-14 03:37:26 UTC","16.51.38.176@53","NOERROR","54.2"
"test6.example.test","2026-07-14 03:37:26 UTC","16.51.38.176@53","NOERROR","50.3"
"test7.example.test","2026-07-14 03:37:26 UTC","16.51.38.176@53","NOERROR","48.2"
"test8.example.test","2026-07-14 03:37:26 UTC","16.51.38.176@53","NOERROR","51.9"
"test9.example.test","2026-07-14 03:37:27 UTC","16.51.38.176@53","NOERROR","49.6"
"test10.example.test","2026-07-14 03:37:27 UTC","16.51.38.176@53","NOERROR","49.6"
"test11.example.test","2026-07-14 03:37:27 UTC","16.51.38.176@53","NOERROR","54.4"
"test12.example.test","2026-07-14 03:37:27 UTC","16.51.38.176@53","NOERROR","50.7"
"test13.example.test","2026-07-14 03:37:27 UTC","16.51.38.176@53","NOERROR","48.6"
"test14.example.test","2026-07-14 03:37:27 UTC","16.51.38.176@53","NOERROR","51.3"
"test15.example.test","2026-07-14 03:37:27 UTC","16.51.38.176@53","NOERROR","54.1"
"test16.example.test","2026-07-14 03:37:27 UTC","16.51.38.176@53","NOERROR","54.7"
"test17.example.test","2026-07-14 03:37:27 UTC","16.51.38.176@53","NOERROR","51.9"
"test18.example.test","2026-07-14 03:37:27 UTC","16.51.38.176@53","NOERROR","50.4"
"test19.example.test","2026-07-14 03:37:27 UTC","16.51.38.176@53","NOERROR","53.2"
