Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-14 04:01:52 UTC,16.51.38.176@853,NOERROR,119.3
test0.example.test,2026-07-14 04:01:52 UTC,16.51.38.176@853,NOERROR,61.2
test1.example.test,2026-07-14 04:01:53 UTC,16.51.38.176@853,NOERROR,60.7
test2.example.test,2026-07-14 04:01:53 UTC,16.51.38.176@853,NOERROR,58
test3.example.test,2026-07-14 04:01:53 UTC,16.51.38.176@853,NOERROR,56.5
test4.example.test,2026-07-14 04:01:53 UTC,16.51.38.176@853,NOERROR,58.2
test5.example.test,2026-07-14 04:01:53 UTC,16.51.38.176@853,NOERROR,58.9
test6.example.test,2026-07-14 04:01:53 UTC,16.51.38.176@853,NOERROR,60.8
test7.example.test,2026-07-14 04:01:53 UTC,16.51.38.176@853,NOERROR,59.4
test8.example.test,2026-07-14 04:01:53 UTC,16.51.38.176@853,NOERROR,60.9
test9.example.test,2026-07-14 04:01:53 UTC,16.51.38.176@853,NOERROR,57.7
test10.example.test,2026-07-14 04:01:53 UTC,16.51.38.176@853,NOERROR,60.4
test11.example.test,2026-07-14 04:01:53 UTC,16.51.38.176@853,NOERROR,61
test12.example.test,2026-07-14 04:01:53 UTC,16.51.38.176@853,NOERROR,57.7
test13.example.test,2026-07-14 04:01:53 UTC,16.51.38.176@853,NOERROR,57.1
test14.example.test,2026-07-14 04:01:53 UTC,16.51.38.176@853,NOERROR,64.5
test15.example.test,2026-07-14 04:01:54 UTC,16.51.38.176@853,NOERROR,55.1
test16.example.test,2026-07-14 04:01:54 UTC,16.51.38.176@853,NOERROR,58.5
test17.example.test,2026-07-14 04:01:54 UTC,16.51.38.176@853,NOERROR,56.9
test18.example.test,2026-07-14 04:01:54 UTC,16.51.38.176@853,NOERROR,56
test19.example.test,2026-07-14 04:01:54 UTC,16.51.38.176@853,NOERROR,57.9
,,,,58.87
,,,,2.24290694834792
