Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-14 03:58:24 UTC,16.51.38.176@853,NOERROR,117.7
test0.example.test,2026-07-14 03:58:24 UTC,16.51.38.176@853,NOERROR,45.4
test1.example.test,2026-07-14 03:58:24 UTC,16.51.38.176@853,NOERROR,43
test2.example.test,2026-07-14 03:58:24 UTC,16.51.38.176@853,NOERROR,44.6
test3.example.test,2026-07-14 03:58:24 UTC,16.51.38.176@853,NOERROR,43
test4.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,46.5
test5.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,45.9
test6.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,43.8
test7.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,41.6
test8.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,44.7
test9.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,39.9
test10.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,41.7
test11.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,43.9
test12.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,45.7
test13.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,45.2
test14.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,41.8
test15.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,43.3
test16.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,45.1
test17.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,46
test18.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,47
test19.example.test,2026-07-14 03:58:25 UTC,16.51.38.176@853,NOERROR,41.5
,,,,43.98
,,,,1.95598945212956
