Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-14 04:03:37 UTC,16.51.38.176@853,NOERROR,114.6
test0.example.test,2026-07-14 04:03:37 UTC,16.51.38.176@853,NOERROR,75.8
test1.example.test,2026-07-14 04:03:37 UTC,16.51.38.176@853,NOERROR,68
test2.example.test,2026-07-14 04:03:37 UTC,16.51.38.176@853,NOERROR,69.4
test3.example.test,2026-07-14 04:03:37 UTC,16.51.38.176@853,NOERROR,67.2
test4.example.test,2026-07-14 04:03:38 UTC,16.51.38.176@853,NOERROR,75.1
test5.example.test,2026-07-14 04:03:38 UTC,16.51.38.176@853,NOERROR,70.6
test6.example.test,2026-07-14 04:03:38 UTC,16.51.38.176@853,NOERROR,72.5
test7.example.test,2026-07-14 04:03:38 UTC,16.51.38.176@853,NOERROR,72
test8.example.test,2026-07-14 04:03:38 UTC,16.51.38.176@853,NOERROR,67.3
test9.example.test,2026-07-14 04:03:38 UTC,16.51.38.176@853,NOERROR,72.7
test10.example.test,2026-07-14 04:03:38 UTC,16.51.38.176@853,NOERROR,66.6
test11.example.test,2026-07-14 04:03:38 UTC,16.51.38.176@853,NOERROR,67.5
test12.example.test,2026-07-14 04:03:38 UTC,16.51.38.176@853,NOERROR,66.5
test13.example.test,2026-07-14 04:03:38 UTC,16.51.38.176@853,NOERROR,69.4
test14.example.test,2026-07-14 04:03:38 UTC,16.51.38.176@853,NOERROR,69.9
test15.example.test,2026-07-14 04:03:38 UTC,16.51.38.176@853,NOERROR,71.4
test16.example.test,2026-07-14 04:03:38 UTC,16.51.38.176@853,NOERROR,68.6
test17.example.test,2026-07-14 04:03:39 UTC,16.51.38.176@853,NOERROR,68
test18.example.test,2026-07-14 04:03:39 UTC,16.51.38.176@853,NOERROR,76.9
test19.example.test,2026-07-14 04:03:39 UTC,16.51.38.176@853,NOERROR,75.6
,,,,70.55
,,,,3.31114545294016
