Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,104.8
test0.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,27.2
test1.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,29.3
test2.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,27.8
test3.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,27.9
test4.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,30.8
test5.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,28.4
test6.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,28.4
test7.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,27.4
test8.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,26.6
test9.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,28.4
test10.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,26.4
test11.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,28.4
test12.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,29.3
test13.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,27.8
test14.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,27.5
test15.example.test,2026-07-14 04:42:42 UTC,16.51.38.176@53,NOERROR,29.2
test16.example.test,2026-07-14 04:42:43 UTC,16.51.38.176@53,NOERROR,31.7
test17.example.test,2026-07-14 04:42:43 UTC,16.51.38.176@53,NOERROR,29.6
test18.example.test,2026-07-14 04:42:43 UTC,16.51.38.176@53,NOERROR,27.8
test19.example.test,2026-07-14 04:42:43 UTC,16.51.38.176@53,NOERROR,27.5
,,,,28.37
,,,,1.31713404984578
