Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,49.3
test0.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,25.4
test1.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,26.5
test2.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,26
test3.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,24.9
test4.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,25.9
test5.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,26.1
test6.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,28.2
test7.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,26.4
test8.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,26.1
test9.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,24.5
test10.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,25.4
test11.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,27.1
test12.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,25
test13.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,26.3
test14.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,27
test15.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,25.9
test16.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,27
test17.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,28.5
test18.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,26.9
test19.example.test,2026-07-14 04:31:55 UTC,16.51.38.176@53,NOERROR,27
,,,,26.305
,,,,1.02519574510894
