Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-14 03:26:28 UTC,16.51.38.176@853,NOERROR,116.5
test0.example.test,2026-07-14 03:26:29 UTC,16.51.38.176@853,NOERROR,59.5
test1.example.test,2026-07-14 03:26:29 UTC,16.51.38.176@853,NOERROR,54.9
test2.example.test,2026-07-14 03:26:29 UTC,16.51.38.176@853,NOERROR,57.2
test3.example.test,2026-07-14 03:26:29 UTC,16.51.38.176@853,NOERROR,57.2
test4.example.test,2026-07-14 03:26:29 UTC,16.51.38.176@853,NOERROR,58.4
test5.example.test,2026-07-14 03:26:29 UTC,16.51.38.176@853,NOERROR,58.6
test6.example.test,2026-07-14 03:26:29 UTC,16.51.38.176@853,NOERROR,57.2
test7.example.test,2026-07-14 03:26:29 UTC,16.51.38.176@853,NOERROR,59.2
test8.example.test,2026-07-14 03:26:29 UTC,16.51.38.176@853,NOERROR,56.6
test9.example.test,2026-07-14 03:26:29 UTC,16.51.38.176@853,NOERROR,59.1
test10.example.test,2026-07-14 03:26:29 UTC,16.51.38.176@853,NOERROR,54.4
test11.example.test,2026-07-14 03:26:29 UTC,16.51.38.176@853,NOERROR,57.7
test12.example.test,2026-07-14 03:26:29 UTC,16.51.38.176@853,NOERROR,57.8
test13.example.test,2026-07-14 03:26:29 UTC,16.51.38.176@853,NOERROR,56.3
test14.example.test,2026-07-14 03:26:30 UTC,16.51.38.176@853,NOERROR,57.7
test15.example.test,2026-07-14 03:26:30 UTC,16.51.38.176@853,NOERROR,60
test16.example.test,2026-07-14 03:26:30 UTC,16.51.38.176@853,NOERROR,60
test17.example.test,2026-07-14 03:26:30 UTC,16.51.38.176@853,NOERROR,56.7
test18.example.test,2026-07-14 03:26:30 UTC,16.51.38.176@853,NOERROR,62.9
test19.example.test,2026-07-14 03:26:30 UTC,16.51.38.176@853,NOERROR,55.8
,,,,57.86
,,,,1.96184660594634
