Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-14 03:46:45 UTC,16.51.38.176@853,NOERROR,116.9
test0.example.test,2026-07-14 03:46:45 UTC,16.51.38.176@853,NOERROR,71.9
test1.example.test,2026-07-14 03:46:45 UTC,16.51.38.176@853,NOERROR,75.2
test2.example.test,2026-07-14 03:46:45 UTC,16.51.38.176@853,NOERROR,72.1
test3.example.test,2026-07-14 03:46:45 UTC,16.51.38.176@853,NOERROR,72.1
test4.example.test,2026-07-14 03:46:45 UTC,16.51.38.176@853,NOERROR,66.6
test5.example.test,2026-07-14 03:46:45 UTC,16.51.38.176@853,NOERROR,69.6
test6.example.test,2026-07-14 03:46:45 UTC,16.51.38.176@853,NOERROR,68.9
test7.example.test,2026-07-14 03:46:45 UTC,16.51.38.176@853,NOERROR,73.1
test8.example.test,2026-07-14 03:46:45 UTC,16.51.38.176@853,NOERROR,66.5
test9.example.test,2026-07-14 03:46:45 UTC,16.51.38.176@853,NOERROR,75.7
test10.example.test,2026-07-14 03:46:46 UTC,16.51.38.176@853,NOERROR,64.1
test11.example.test,2026-07-14 03:46:46 UTC,16.51.38.176@853,NOERROR,65.8
test12.example.test,2026-07-14 03:46:46 UTC,16.51.38.176@853,NOERROR,67.5
test13.example.test,2026-07-14 03:46:46 UTC,16.51.38.176@853,NOERROR,72
test14.example.test,2026-07-14 03:46:46 UTC,16.51.38.176@853,NOERROR,72.7
test15.example.test,2026-07-14 03:46:46 UTC,16.51.38.176@853,NOERROR,72.9
test16.example.test,2026-07-14 03:46:46 UTC,16.51.38.176@853,NOERROR,71.8
test17.example.test,2026-07-14 03:46:46 UTC,16.51.38.176@853,NOERROR,68.8
test18.example.test,2026-07-14 03:46:46 UTC,16.51.38.176@853,NOERROR,63.9
test19.example.test,2026-07-14 03:46:46 UTC,16.51.38.176@853,NOERROR,72.3
,,,,70.175
,,,,3.49222821343864
