Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-17 01:08:03 UTC,16.26.83.52@53,NOERROR,47
test0.example.test,2026-07-17 01:08:03 UTC,16.26.83.52@53,NOERROR,42.5
test1.example.test,2026-07-17 01:08:03 UTC,16.26.83.52@53,NOERROR,38.7
test2.example.test,2026-07-17 01:08:03 UTC,16.26.83.52@53,NOERROR,44.2
test3.example.test,2026-07-17 01:08:03 UTC,16.26.83.52@53,NOERROR,45.9
test4.example.test,2026-07-17 01:08:04 UTC,16.26.83.52@53,NOERROR,40.1
test5.example.test,2026-07-17 01:08:04 UTC,16.26.83.52@53,NOERROR,40.2
test6.example.test,2026-07-17 01:08:04 UTC,16.26.83.52@53,NOERROR,45
test7.example.test,2026-07-17 01:08:04 UTC,16.26.83.52@53,NOERROR,43.9
test8.example.test,2026-07-17 01:08:04 UTC,16.26.83.52@53,NOERROR,40.5
test9.example.test,2026-07-17 01:08:04 UTC,16.26.83.52@53,NOERROR,41.4
test10.example.test,2026-07-17 01:08:04 UTC,16.26.83.52@53,NOERROR,43.7
test11.example.test,2026-07-17 01:08:04 UTC,16.26.83.52@53,NOERROR,41.8
test12.example.test,2026-07-17 01:08:04 UTC,16.26.83.52@53,NOERROR,39.3
test13.example.test,2026-07-17 01:08:04 UTC,16.26.83.52@53,NOERROR,40.6
test14.example.test,2026-07-17 01:08:04 UTC,16.26.83.52@53,NOERROR,42.9
test15.example.test,2026-07-17 01:08:04 UTC,16.26.83.52@53,NOERROR,41.5
test16.example.test,2026-07-17 01:08:05 UTC,16.26.83.52@53,NOERROR,39.8
test17.example.test,2026-07-17 01:08:05 UTC,16.26.83.52@53,NOERROR,43.1
test18.example.test,2026-07-17 01:08:05 UTC,16.26.83.52@53,NOERROR,40.9
test19.example.test,2026-07-17 01:08:05 UTC,16.26.83.52@53,NOERROR,39.7
,,,,41.785
,,,,2.027774252981
