Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-17 05:28:29 UTC,16.26.83.52@53,NOERROR,226.9
test0.example.test,2026-07-17 05:28:29 UTC,16.26.83.52@53,NOERROR,56.8
test1.example.test,2026-07-17 05:28:29 UTC,16.26.83.52@53,NOERROR,58
test2.example.test,2026-07-17 05:28:29 UTC,16.26.83.52@53,NOERROR,57.2
test3.example.test,2026-07-17 05:28:29 UTC,16.26.83.52@53,NOERROR,54.7
test4.example.test,2026-07-17 05:28:29 UTC,16.26.83.52@53,NOERROR,54.3
test5.example.test,2026-07-17 05:28:29 UTC,16.26.83.52@53,NOERROR,42.4
test6.example.test,2026-07-17 05:28:29 UTC,16.26.83.52@53,NOERROR,54.4
test7.example.test,2026-07-17 05:28:29 UTC,16.26.83.52@53,NOERROR,55.1
test8.example.test,2026-07-17 05:28:29 UTC,16.26.83.52@53,NOERROR,45.1
test9.example.test,2026-07-17 05:28:30 UTC,16.26.83.52@53,NOERROR,58.2
test10.example.test,2026-07-17 05:28:30 UTC,16.26.83.52@53,NOERROR,63.3
test11.example.test,2026-07-17 05:28:30 UTC,16.26.83.52@53,NOERROR,62.1
test12.example.test,2026-07-17 05:28:30 UTC,16.26.83.52@53,NOERROR,53.5
test13.example.test,2026-07-17 05:28:30 UTC,16.26.83.52@53,NOERROR,58.3
test14.example.test,2026-07-17 05:28:30 UTC,16.26.83.52@53,NOERROR,54.1
test15.example.test,2026-07-17 05:28:30 UTC,16.26.83.52@53,NOERROR,62
test16.example.test,2026-07-17 05:28:30 UTC,16.26.83.52@53,NOERROR,61.6
test17.example.test,2026-07-17 05:28:30 UTC,16.26.83.52@53,NOERROR,59.1
test18.example.test,2026-07-17 05:28:30 UTC,16.26.83.52@53,NOERROR,53.7
test19.example.test,2026-07-17 05:28:30 UTC,16.26.83.52@53,NOERROR,56.9
,,,,56.04
,,,,5.18767770779951
