Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-17 05:26:39 UTC,16.26.83.52@53,NOERROR,139.1
test0.example.test,2026-07-17 05:26:39 UTC,16.26.83.52@53,NOERROR,52
test1.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,51.4
test2.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,59.4
test3.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,58.9
test4.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,57.6
test5.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,50.8
test6.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,53.4
test7.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,58.7
test8.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,58.3
test9.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,49.4
test10.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,52.9
test11.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,52.4
test12.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,53.2
test13.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,56.1
test14.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,53.2
test15.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,56.1
test16.example.test,2026-07-17 05:26:40 UTC,16.26.83.52@53,NOERROR,53.8
test17.example.test,2026-07-17 05:26:41 UTC,16.26.83.52@53,NOERROR,51.9
test18.example.test,2026-07-17 05:26:41 UTC,16.26.83.52@53,NOERROR,50.3
test19.example.test,2026-07-17 05:26:41 UTC,16.26.83.52@53,NOERROR,51.8
,,,,54.08
,,,,3.12840971875825
