Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-17 04:21:45 UTC,16.26.83.52@53,NOERROR,105
test0.example.test,2026-07-17 04:21:45 UTC,16.26.83.52@53,NOERROR,29.6
test1.example.test,2026-07-17 04:21:45 UTC,16.26.83.52@53,NOERROR,28.6
test2.example.test,2026-07-17 04:21:45 UTC,16.26.83.52@53,NOERROR,29.4
test3.example.test,2026-07-17 04:21:45 UTC,16.26.83.52@53,NOERROR,31.8
test4.example.test,2026-07-17 04:21:45 UTC,16.26.83.52@53,NOERROR,28.6
test5.example.test,2026-07-17 04:21:45 UTC,16.26.83.52@53,NOERROR,28.9
test6.example.test,2026-07-17 04:21:45 UTC,16.26.83.52@53,NOERROR,31.3
test7.example.test,2026-07-17 04:21:45 UTC,16.26.83.52@53,NOERROR,28.9
test8.example.test,2026-07-17 04:21:45 UTC,16.26.83.52@53,NOERROR,27.6
test9.example.test,2026-07-17 04:21:45 UTC,16.26.83.52@53,NOERROR,28.6
test10.example.test,2026-07-17 04:21:46 UTC,16.26.83.52@53,NOERROR,29.8
test11.example.test,2026-07-17 04:21:46 UTC,16.26.83.52@53,NOERROR,28.7
test12.example.test,2026-07-17 04:21:46 UTC,16.26.83.52@53,NOERROR,30.9
test13.example.test,2026-07-17 04:21:46 UTC,16.26.83.52@53,NOERROR,29.3
test14.example.test,2026-07-17 04:21:46 UTC,16.26.83.52@53,NOERROR,28.9
test15.example.test,2026-07-17 04:21:46 UTC,16.26.83.52@53,NOERROR,28.9
test16.example.test,2026-07-17 04:21:46 UTC,16.26.83.52@53,NOERROR,28.8
test17.example.test,2026-07-17 04:21:46 UTC,16.26.83.52@53,NOERROR,31
test18.example.test,2026-07-17 04:21:46 UTC,16.26.83.52@53,NOERROR,29.3
test19.example.test,2026-07-17 04:21:46 UTC,16.26.83.52@53,NOERROR,29.5
,,,,29.42
,,,,1.0615777731382
