Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-17 04:26:15 UTC,16.26.83.52@53,NOERROR,125.8
test0.example.test,2026-07-17 04:26:15 UTC,16.26.83.52@53,NOERROR,55.4
test1.example.test,2026-07-17 04:26:15 UTC,16.26.83.52@53,NOERROR,55.4
test2.example.test,2026-07-17 04:26:15 UTC,16.26.83.52@53,NOERROR,55.2
test3.example.test,2026-07-17 04:26:15 UTC,16.26.83.52@53,NOERROR,56.6
test4.example.test,2026-07-17 04:26:15 UTC,16.26.83.52@53,NOERROR,54
test5.example.test,2026-07-17 04:26:15 UTC,16.26.83.52@53,NOERROR,52.8
test6.example.test,2026-07-17 04:26:15 UTC,16.26.83.52@53,NOERROR,57.8
test7.example.test,2026-07-17 04:26:15 UTC,16.26.83.52@53,NOERROR,56.7
test8.example.test,2026-07-17 04:26:15 UTC,16.26.83.52@53,NOERROR,51.6
test9.example.test,2026-07-17 04:26:15 UTC,16.26.83.52@53,NOERROR,51.2
test10.example.test,2026-07-17 04:26:16 UTC,16.26.83.52@53,NOERROR,49.8
test11.example.test,2026-07-17 04:26:16 UTC,16.26.83.52@53,NOERROR,55.8
test12.example.test,2026-07-17 04:26:16 UTC,16.26.83.52@53,NOERROR,58.1
test13.example.test,2026-07-17 04:26:16 UTC,16.26.83.52@53,NOERROR,50
test14.example.test,2026-07-17 04:26:16 UTC,16.26.83.52@53,NOERROR,48.9
test15.example.test,2026-07-17 04:26:16 UTC,16.26.83.52@53,NOERROR,51.2
test16.example.test,2026-07-17 04:26:16 UTC,16.26.83.52@53,NOERROR,61
test17.example.test,2026-07-17 04:26:16 UTC,16.26.83.52@53,NOERROR,59.8
test18.example.test,2026-07-17 04:26:16 UTC,16.26.83.52@53,NOERROR,51.9
test19.example.test,2026-07-17 04:26:16 UTC,16.26.83.52@53,NOERROR,54.1
,,,,54.365
,,,,3.40916334851267
