Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-17 00:19:14 UTC,16.26.83.52@53,NOERROR,44.1
test0.example.test,2026-07-17 00:19:14 UTC,16.26.83.52@53,NOERROR,39.4
test1.example.test,2026-07-17 00:19:14 UTC,16.26.83.52@53,NOERROR,42.7
test2.example.test,2026-07-17 00:19:14 UTC,16.26.83.52@53,NOERROR,41.2
test3.example.test,2026-07-17 00:19:14 UTC,16.26.83.52@53,NOERROR,38.4
test4.example.test,2026-07-17 00:19:14 UTC,16.26.83.52@53,NOERROR,41.2
test5.example.test,2026-07-17 00:19:14 UTC,16.26.83.52@53,NOERROR,42.8
test6.example.test,2026-07-17 00:19:14 UTC,16.26.83.52@53,NOERROR,41.4
test7.example.test,2026-07-17 00:19:15 UTC,16.26.83.52@53,NOERROR,42.5
test8.example.test,2026-07-17 00:19:15 UTC,16.26.83.52@53,NOERROR,41
test9.example.test,2026-07-17 00:19:15 UTC,16.26.83.52@53,NOERROR,44.3
test10.example.test,2026-07-17 00:19:15 UTC,16.26.83.52@53,NOERROR,40.5
test11.example.test,2026-07-17 00:19:15 UTC,16.26.83.52@53,NOERROR,46.3
test12.example.test,2026-07-17 00:19:15 UTC,16.26.83.52@53,NOERROR,44.7
test13.example.test,2026-07-17 00:19:15 UTC,16.26.83.52@53,NOERROR,43
test14.example.test,2026-07-17 00:19:15 UTC,16.26.83.52@53,NOERROR,41.2
test15.example.test,2026-07-17 00:19:15 UTC,16.26.83.52@53,NOERROR,40.9
test16.example.test,2026-07-17 00:19:15 UTC,16.26.83.52@53,NOERROR,42.2
test17.example.test,2026-07-17 00:19:15 UTC,16.26.83.52@53,NOERROR,37.8
test18.example.test,2026-07-17 00:19:15 UTC,16.26.83.52@53,NOERROR,39.1
test19.example.test,2026-07-17 00:19:15 UTC,16.26.83.52@53,NOERROR,44.7
,,,,41.765
,,,,2.20269571685529
