Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-17 00:20:53 UTC,16.26.83.52@53,NOERROR,71
test0.example.test,2026-07-17 00:20:53 UTC,16.26.83.52@53,NOERROR,71.3
test1.example.test,2026-07-17 00:20:53 UTC,16.26.83.52@53,NOERROR,64.3
test2.example.test,2026-07-17 00:20:53 UTC,16.26.83.52@53,NOERROR,73.1
test3.example.test,2026-07-17 00:20:53 UTC,16.26.83.52@53,NOERROR,76.2
test4.example.test,2026-07-17 00:20:54 UTC,16.26.83.52@53,NOERROR,70.4
test5.example.test,2026-07-17 00:20:54 UTC,16.26.83.52@53,NOERROR,68.5
test6.example.test,2026-07-17 00:20:54 UTC,16.26.83.52@53,NOERROR,69.1
test7.example.test,2026-07-17 00:20:54 UTC,16.26.83.52@53,NOERROR,79.2
test8.example.test,2026-07-17 00:20:54 UTC,16.26.83.52@53,NOERROR,70.1
test9.example.test,2026-07-17 00:20:54 UTC,16.26.83.52@53,NOERROR,73.9
test10.example.test,2026-07-17 00:20:54 UTC,16.26.83.52@53,NOERROR,73
test11.example.test,2026-07-17 00:20:55 UTC,16.26.83.52@53,NOERROR,64.3
test12.example.test,2026-07-17 00:20:55 UTC,16.26.83.52@53,NOERROR,69.6
test13.example.test,2026-07-17 00:20:55 UTC,16.26.83.52@53,NOERROR,55.9
test14.example.test,2026-07-17 00:20:55 UTC,16.26.83.52@53,NOERROR,79.5
test15.example.test,2026-07-17 00:20:55 UTC,16.26.83.52@53,NOERROR,72.4
test16.example.test,2026-07-17 00:20:55 UTC,16.26.83.52@53,NOERROR,68.3
test17.example.test,2026-07-17 00:20:55 UTC,16.26.83.52@53,NOERROR,68.7
test18.example.test,2026-07-17 00:20:55 UTC,16.26.83.52@53,NOERROR,76.1
test19.example.test,2026-07-17 00:20:56 UTC,16.26.83.52@53,NOERROR,61.7
,,,,70.28
,,,,5.7623642808541
