Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,104.4
test0.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,46.7
test1.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,43
test2.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,46.4
test3.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,44.3
test4.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,46.9
test5.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,42.5
test6.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,45.1
test7.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,43.6
test8.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,43.5
test9.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,42.3
test10.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,43.1
test11.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,41.4
test12.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,45.6
test13.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,44.9
test14.example.test,2026-07-17 00:35:09 UTC,16.26.83.52@53,NOERROR,44.9
test15.example.test,2026-07-17 00:35:10 UTC,16.26.83.52@53,NOERROR,42.6
test16.example.test,2026-07-17 00:35:10 UTC,16.26.83.52@53,NOERROR,42.6
test17.example.test,2026-07-17 00:35:10 UTC,16.26.83.52@53,NOERROR,42.4
test18.example.test,2026-07-17 00:35:10 UTC,16.26.83.52@53,NOERROR,40.9
test19.example.test,2026-07-17 00:35:10 UTC,16.26.83.52@53,NOERROR,45.1
,,,,43.89
,,,,1.74895457495704
