Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-17 00:27:04 UTC,16.26.83.52@53,NOERROR,99.7
test0.example.test,2026-07-17 00:27:04 UTC,16.26.83.52@53,NOERROR,28.6
test1.example.test,2026-07-17 00:27:04 UTC,16.26.83.52@53,NOERROR,27.8
test2.example.test,2026-07-17 00:27:04 UTC,16.26.83.52@53,NOERROR,28.3
test3.example.test,2026-07-17 00:27:04 UTC,16.26.83.52@53,NOERROR,29.9
test4.example.test,2026-07-17 00:27:04 UTC,16.26.83.52@53,NOERROR,28.3
test5.example.test,2026-07-17 00:27:04 UTC,16.26.83.52@53,NOERROR,37.3
test6.example.test,2026-07-17 00:27:05 UTC,16.26.83.52@53,NOERROR,30.9
test7.example.test,2026-07-17 00:27:05 UTC,16.26.83.52@53,NOERROR,31.3
test8.example.test,2026-07-17 00:27:05 UTC,16.26.83.52@53,NOERROR,29.7
test9.example.test,2026-07-17 00:27:05 UTC,16.26.83.52@53,NOERROR,28.9
test10.example.test,2026-07-17 00:27:05 UTC,16.26.83.52@53,NOERROR,27.4
test11.example.test,2026-07-17 00:27:05 UTC,16.26.83.52@53,NOERROR,34.9
test12.example.test,2026-07-17 00:27:05 UTC,16.26.83.52@53,NOERROR,29.8
test13.example.test,2026-07-17 00:27:05 UTC,16.26.83.52@53,NOERROR,30
test14.example.test,2026-07-17 00:27:05 UTC,16.26.83.52@53,NOERROR,29.7
test15.example.test,2026-07-17 00:27:05 UTC,16.26.83.52@53,NOERROR,29.5
test16.example.test,2026-07-17 00:27:05 UTC,16.26.83.52@53,NOERROR,31.2
test17.example.test,2026-07-17 00:27:05 UTC,16.26.83.52@53,NOERROR,31.9
test18.example.test,2026-07-17 00:27:05 UTC,16.26.83.52@53,NOERROR,30.4
test19.example.test,2026-07-17 00:27:05 UTC,16.26.83.52@53,NOERROR,31.9
,,,,30.385
,,,,2.36960467500161
