Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-17 00:42:09 UTC,16.26.83.52@53,NOERROR,130.9
test0.example.test,2026-07-17 00:42:09 UTC,16.26.83.52@53,NOERROR,49.3
test1.example.test,2026-07-17 00:42:09 UTC,16.26.83.52@53,NOERROR,58.3
test2.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,56.6
test3.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,58
test4.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,55.9
test5.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,49.3
test6.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,54.3
test7.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,52.5
test8.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,55.2
test9.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,55
test10.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,54.9
test11.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,50.1
test12.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,51.1
test13.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,52.8
test14.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,49.9
test15.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,55.5
test16.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,59.1
test17.example.test,2026-07-17 00:42:10 UTC,16.26.83.52@53,NOERROR,59.1
test18.example.test,2026-07-17 00:42:11 UTC,16.26.83.52@53,NOERROR,55.8
test19.example.test,2026-07-17 00:42:11 UTC,16.26.83.52@53,NOERROR,54.9
,,,,54.38
,,,,3.1783146808531
