Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-17 00:44:31 UTC,16.26.83.52@53,NOERROR,133.5
test0.example.test,2026-07-17 00:44:31 UTC,16.26.83.52@53,NOERROR,56.8
test1.example.test,2026-07-17 00:44:31 UTC,16.26.83.52@53,NOERROR,54.2
test2.example.test,2026-07-17 00:44:31 UTC,16.26.83.52@53,NOERROR,53.7
test3.example.test,2026-07-17 00:44:31 UTC,16.26.83.52@53,NOERROR,54.9
test4.example.test,2026-07-17 00:44:31 UTC,16.26.83.52@53,NOERROR,57.7
test5.example.test,2026-07-17 00:44:31 UTC,16.26.83.52@53,NOERROR,51.7
test6.example.test,2026-07-17 00:44:31 UTC,16.26.83.52@53,NOERROR,52.9
test7.example.test,2026-07-17 00:44:31 UTC,16.26.83.52@53,NOERROR,54.8
test8.example.test,2026-07-17 00:44:32 UTC,16.26.83.52@53,NOERROR,60.2
test9.example.test,2026-07-17 00:44:32 UTC,16.26.83.52@53,NOERROR,53.1
test10.example.test,2026-07-17 00:44:32 UTC,16.26.83.52@53,NOERROR,61.6
test11.example.test,2026-07-17 00:44:32 UTC,16.26.83.52@53,NOERROR,61.1
test12.example.test,2026-07-17 00:44:32 UTC,16.26.83.52@53,NOERROR,61.2
test13.example.test,2026-07-17 00:44:32 UTC,16.26.83.52@53,NOERROR,53.9
test14.example.test,2026-07-17 00:44:32 UTC,16.26.83.52@53,NOERROR,60.5
test15.example.test,2026-07-17 00:44:32 UTC,16.26.83.52@53,NOERROR,60.2
test16.example.test,2026-07-17 00:44:32 UTC,16.26.83.52@53,NOERROR,54.2
test17.example.test,2026-07-17 00:44:32 UTC,16.26.83.52@53,NOERROR,54.1
test18.example.test,2026-07-17 00:44:32 UTC,16.26.83.52@53,NOERROR,51.2
test19.example.test,2026-07-17 00:44:32 UTC,16.26.83.52@53,NOERROR,58.7
,,,,56.335
,,,,3.4830831774525
