Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-17 00:38:25 UTC,16.26.83.52@53,NOERROR,139.9
test0.example.test,2026-07-17 00:38:25 UTC,16.26.83.52@53,NOERROR,54.9
test1.example.test,2026-07-17 00:38:25 UTC,16.26.83.52@53,NOERROR,56.1
test2.example.test,2026-07-17 00:38:25 UTC,16.26.83.52@53,NOERROR,55.7
test3.example.test,2026-07-17 00:38:25 UTC,16.26.83.52@53,NOERROR,60.6
test4.example.test,2026-07-17 00:38:25 UTC,16.26.83.52@53,NOERROR,54.8
test5.example.test,2026-07-17 00:38:25 UTC,16.26.83.52@53,NOERROR,53.5
test6.example.test,2026-07-17 00:38:25 UTC,16.26.83.52@53,NOERROR,54.2
test7.example.test,2026-07-17 00:38:25 UTC,16.26.83.52@53,NOERROR,52.8
test8.example.test,2026-07-17 00:38:25 UTC,16.26.83.52@53,NOERROR,56.2
test9.example.test,2026-07-17 00:38:25 UTC,16.26.83.52@53,NOERROR,57.3
test10.example.test,2026-07-17 00:38:25 UTC,16.26.83.52@53,NOERROR,54.4
test11.example.test,2026-07-17 00:38:25 UTC,16.26.83.52@53,NOERROR,56.6
test12.example.test,2026-07-17 00:38:25 UTC,16.26.83.52@53,NOERROR,57.8
test13.example.test,2026-07-17 00:38:26 UTC,16.26.83.52@53,NOERROR,60.2
test14.example.test,2026-07-17 00:38:26 UTC,16.26.83.52@53,NOERROR,55.3
test15.example.test,2026-07-17 00:38:26 UTC,16.26.83.52@53,NOERROR,60
test16.example.test,2026-07-17 00:38:26 UTC,16.26.83.52@53,NOERROR,55.2
test17.example.test,2026-07-17 00:38:26 UTC,16.26.83.52@53,NOERROR,57
test18.example.test,2026-07-17 00:38:26 UTC,16.26.83.52@53,NOERROR,54.5
test19.example.test,2026-07-17 00:38:26 UTC,16.26.83.52@53,NOERROR,59.2
,,,,56.315
,,,,2.26884505745475
