Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-16 23:25:00 UTC,16.26.83.52@53,NOERROR,90.5
test0.example.test,2026-07-16 23:25:00 UTC,16.26.83.52@53,NOERROR,38.5
test1.example.test,2026-07-16 23:25:00 UTC,16.26.83.52@53,NOERROR,39.6
test2.example.test,2026-07-16 23:25:00 UTC,16.26.83.52@53,NOERROR,40.2
test3.example.test,2026-07-16 23:25:00 UTC,16.26.83.52@53,NOERROR,44.6
test4.example.test,2026-07-16 23:25:00 UTC,16.26.83.52@53,NOERROR,42.4
test5.example.test,2026-07-16 23:25:01 UTC,16.26.83.52@53,NOERROR,41.4
test6.example.test,2026-07-16 23:25:01 UTC,16.26.83.52@53,NOERROR,39.1
test7.example.test,2026-07-16 23:25:01 UTC,16.26.83.52@53,NOERROR,45.7
test8.example.test,2026-07-16 23:25:01 UTC,16.26.83.52@53,NOERROR,71.6
test9.example.test,2026-07-16 23:25:01 UTC,16.26.83.52@53,NOERROR,43.1
test10.example.test,2026-07-16 23:25:01 UTC,16.26.83.52@53,NOERROR,49.8
test11.example.test,2026-07-16 23:25:01 UTC,16.26.83.52@53,NOERROR,44.9
test12.example.test,2026-07-16 23:25:01 UTC,16.26.83.52@53,NOERROR,48.5
test13.example.test,2026-07-16 23:25:01 UTC,16.26.83.52@53,NOERROR,51.2
test14.example.test,2026-07-16 23:25:01 UTC,16.26.83.52@53,NOERROR,45.6
test15.example.test,2026-07-16 23:25:01 UTC,16.26.83.52@53,NOERROR,42.1
test16.example.test,2026-07-16 23:25:01 UTC,16.26.83.52@53,NOERROR,45.9
test17.example.test,2026-07-16 23:25:01 UTC,16.26.83.52@53,NOERROR,59.4
test18.example.test,2026-07-16 23:25:02 UTC,16.26.83.52@53,NOERROR,39.9
test19.example.test,2026-07-16 23:25:02 UTC,16.26.83.52@53,NOERROR,42.8
,,,,45.815
,,,,7.84402387339022
