Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-16 23:27:09 UTC,16.26.83.52@53,NOERROR,90.1
test0.example.test,2026-07-16 23:27:09 UTC,16.26.83.52@53,NOERROR,43.1
test1.example.test,2026-07-16 23:27:09 UTC,16.26.83.52@53,NOERROR,38.8
test2.example.test,2026-07-16 23:27:09 UTC,16.26.83.52@53,NOERROR,38.3
test3.example.test,2026-07-16 23:27:09 UTC,16.26.83.52@53,NOERROR,36
test4.example.test,2026-07-16 23:27:09 UTC,16.26.83.52@53,NOERROR,36.9
test5.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,37.8
test6.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,40.4
test7.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,37.4
test8.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,35.1
test9.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,37.3
test10.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,36.2
test11.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,39.6
test12.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,36.6
test13.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,36
test14.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,37.8
test15.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,42.5
test16.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,39.4
test17.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,40.3
test18.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,36.8
test19.example.test,2026-07-16 23:27:10 UTC,16.26.83.52@53,NOERROR,36.9
,,,,38.16
,,,,2.15758149202686
