Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-17 00:53:14 UTC,16.26.83.52@53,NOERROR,80.5
test0.example.test,2026-07-17 00:53:14 UTC,16.26.83.52@53,NOERROR,51.2
test1.example.test,2026-07-17 00:53:14 UTC,16.26.83.52@53,NOERROR,57.9
test2.example.test,2026-07-17 00:53:14 UTC,16.26.83.52@53,NOERROR,49.3
test3.example.test,2026-07-17 00:53:14 UTC,16.26.83.52@53,NOERROR,52.2
test4.example.test,2026-07-17 00:53:14 UTC,16.26.83.52@53,NOERROR,50
test5.example.test,2026-07-17 00:53:14 UTC,16.26.83.52@53,NOERROR,47.4
test6.example.test,2026-07-17 00:53:14 UTC,16.26.83.52@53,NOERROR,50.8
test7.example.test,2026-07-17 00:53:14 UTC,16.26.83.52@53,NOERROR,55.3
test8.example.test,2026-07-17 00:53:14 UTC,16.26.83.52@53,NOERROR,55.5
test9.example.test,2026-07-17 00:53:14 UTC,16.26.83.52@53,NOERROR,54.2
test10.example.test,2026-07-17 00:53:15 UTC,16.26.83.52@53,NOERROR,56.1
test11.example.test,2026-07-17 00:53:15 UTC,16.26.83.52@53,NOERROR,54.5
test12.example.test,2026-07-17 00:53:15 UTC,16.26.83.52@53,NOERROR,54.4
test13.example.test,2026-07-17 00:53:15 UTC,16.26.83.52@53,NOERROR,54.7
test14.example.test,2026-07-17 00:53:15 UTC,16.26.83.52@53,NOERROR,53.8
test15.example.test,2026-07-17 00:53:15 UTC,16.26.83.52@53,NOERROR,52.3
test16.example.test,2026-07-17 00:53:15 UTC,16.26.83.52@53,NOERROR,54.4
test17.example.test,2026-07-17 00:53:15 UTC,16.26.83.52@53,NOERROR,52.8
test18.example.test,2026-07-17 00:53:15 UTC,16.26.83.52@53,NOERROR,50.1
test19.example.test,2026-07-17 00:53:15 UTC,16.26.83.52@53,NOERROR,50.1
,,,,52.85
,,,,2.67512911641171
