Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-17 00:55:35 UTC,16.26.83.52@53,NOERROR,80.1
test0.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,52.9
test1.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,54.1
test2.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,52.1
test3.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,56.8
test4.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,55.7
test5.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,51.9
test6.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,54.1
test7.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,53.6
test8.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,52
test9.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,52
test10.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,53
test11.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,56.1
test12.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,52.3
test13.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,58.4
test14.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,52.6
test15.example.test,2026-07-17 00:55:36 UTC,16.26.83.52@53,NOERROR,54.8
test16.example.test,2026-07-17 00:55:37 UTC,16.26.83.52@53,NOERROR,53.5
test17.example.test,2026-07-17 00:55:37 UTC,16.26.83.52@53,NOERROR,54.4
test18.example.test,2026-07-17 00:55:37 UTC,16.26.83.52@53,NOERROR,56.3
test19.example.test,2026-07-17 00:55:37 UTC,16.26.83.52@53,NOERROR,51.7
,,,,53.915
,,,,1.90905735901256
