Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-16 23:16:38 UTC,16.26.83.52@53,NOERROR,76.8
test0.example.test,2026-07-16 23:16:38 UTC,16.26.83.52@53,NOERROR,51.5
test1.example.test,2026-07-16 23:16:38 UTC,16.26.83.52@53,NOERROR,51.7
test2.example.test,2026-07-16 23:16:38 UTC,16.26.83.52@53,NOERROR,54.6
test3.example.test,2026-07-16 23:16:38 UTC,16.26.83.52@53,NOERROR,56.2
test4.example.test,2026-07-16 23:16:38 UTC,16.26.83.52@53,NOERROR,55.4
test5.example.test,2026-07-16 23:16:38 UTC,16.26.83.52@53,NOERROR,52.8
test6.example.test,2026-07-16 23:16:38 UTC,16.26.83.52@53,NOERROR,50.7
test7.example.test,2026-07-16 23:16:38 UTC,16.26.83.52@53,NOERROR,51.2
test8.example.test,2026-07-16 23:16:38 UTC,16.26.83.52@53,NOERROR,57.4
test9.example.test,2026-07-16 23:16:38 UTC,16.26.83.52@53,NOERROR,57.8
test10.example.test,2026-07-16 23:16:38 UTC,16.26.83.52@53,NOERROR,55.9
test11.example.test,2026-07-16 23:16:39 UTC,16.26.83.52@53,NOERROR,52.8
test12.example.test,2026-07-16 23:16:39 UTC,16.26.83.52@53,NOERROR,51.3
test13.example.test,2026-07-16 23:16:39 UTC,16.26.83.52@53,NOERROR,55.3
test14.example.test,2026-07-16 23:16:39 UTC,16.26.83.52@53,NOERROR,52.7
test15.example.test,2026-07-16 23:16:39 UTC,16.26.83.52@53,NOERROR,53.3
test16.example.test,2026-07-16 23:16:39 UTC,16.26.83.52@53,NOERROR,53.7
test17.example.test,2026-07-16 23:16:39 UTC,16.26.83.52@53,NOERROR,58
test18.example.test,2026-07-16 23:16:39 UTC,16.26.83.52@53,NOERROR,54
test19.example.test,2026-07-16 23:16:39 UTC,16.26.83.52@53,NOERROR,58.7
,,,,54.25
,,,,2.49219835317716
