Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-06-22 13:16:10 AEST,16.51.152.19@853,NOERROR,120.3
test0.example.test,2026-06-22 13:16:10 AEST,16.51.152.19@853,NOERROR,64.9
test1.example.test,2026-06-22 13:16:10 AEST,16.51.152.19@853,NOERROR,61.6
test2.example.test,2026-06-22 13:16:10 AEST,16.51.152.19@853,NOERROR,63.3
test3.example.test,2026-06-22 13:16:10 AEST,16.51.152.19@853,NOERROR,59.6
test4.example.test,2026-06-22 13:16:10 AEST,16.51.152.19@853,NOERROR,65.2
test5.example.test,2026-06-22 13:16:10 AEST,16.51.152.19@853,NOERROR,61.8
test6.example.test,2026-06-22 13:16:10 AEST,16.51.152.19@853,NOERROR,65
test7.example.test,2026-06-22 13:16:10 AEST,16.51.152.19@853,NOERROR,61.6
test8.example.test,2026-06-22 13:16:10 AEST,16.51.152.19@853,NOERROR,67.3
test9.example.test,2026-06-22 13:16:10 AEST,16.51.152.19@853,NOERROR,63.2
test10.example.test,2026-06-22 13:16:10 AEST,16.51.152.19@853,NOERROR,62.9
test11.example.test,2026-06-22 13:16:10 AEST,16.51.152.19@853,NOERROR,65.7
test12.example.test,2026-06-22 13:16:10 AEST,16.51.152.19@853,NOERROR,63
test13.example.test,2026-06-22 13:16:11 AEST,16.51.152.19@853,NOERROR,66.2
test14.example.test,2026-06-22 13:16:11 AEST,16.51.152.19@853,NOERROR,64.6
test15.example.test,2026-06-22 13:16:11 AEST,16.51.152.19@853,NOERROR,66.4
test16.example.test,2026-06-22 13:16:11 AEST,16.51.152.19@853,NOERROR,63.4
test17.example.test,2026-06-22 13:16:11 AEST,16.51.152.19@853,NOERROR,63.1
test18.example.test,2026-06-22 13:16:11 AEST,16.51.152.19@853,NOERROR,62.9
test19.example.test,2026-06-22 13:16:11 AEST,16.51.152.19@853,NOERROR,61.1
,,,,63.64
,,,,1.99008066485547
