Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-06-22 13:19:35 AEST,16.51.152.19@853,NOERROR,121.7
test0.example.test,2026-06-22 13:19:36 AEST,16.51.152.19@853,NOERROR,67.2
test1.example.test,2026-06-22 13:19:36 AEST,16.51.152.19@853,NOERROR,56
test2.example.test,2026-06-22 13:19:36 AEST,16.51.152.19@853,NOERROR,64.7
test3.example.test,2026-06-22 13:19:36 AEST,16.51.152.19@853,NOERROR,59.8
test4.example.test,2026-06-22 13:19:36 AEST,16.51.152.19@853,NOERROR,58.9
test5.example.test,2026-06-22 13:19:36 AEST,16.51.152.19@853,NOERROR,64.2
test6.example.test,2026-06-22 13:19:36 AEST,16.51.152.19@853,NOERROR,58.6
test7.example.test,2026-06-22 13:19:36 AEST,16.51.152.19@853,NOERROR,57.6
test8.example.test,2026-06-22 13:19:36 AEST,16.51.152.19@853,NOERROR,61.5
test9.example.test,2026-06-22 13:19:36 AEST,16.51.152.19@853,NOERROR,61.8
test10.example.test,2026-06-22 13:19:36 AEST,16.51.152.19@853,NOERROR,58.4
test11.example.test,2026-06-22 13:19:36 AEST,16.51.152.19@853,NOERROR,73.5
test12.example.test,2026-06-22 13:19:36 AEST,16.51.152.19@853,NOERROR,94.9
test13.example.test,2026-06-22 13:19:37 AEST,16.51.152.19@853,NOERROR,94.2
test14.example.test,2026-06-22 13:19:37 AEST,16.51.152.19@853,NOERROR,64
test15.example.test,2026-06-22 13:19:37 AEST,16.51.152.19@853,NOERROR,59.3
test16.example.test,2026-06-22 13:19:37 AEST,16.51.152.19@853,NOERROR,57.5
test17.example.test,2026-06-22 13:19:37 AEST,16.51.152.19@853,NOERROR,59.6
test18.example.test,2026-06-22 13:19:37 AEST,16.51.152.19@853,NOERROR,60.6
test19.example.test,2026-06-22 13:19:37 AEST,16.51.152.19@853,NOERROR,58.6
,,,,64.545
,,,,11.0180939702311
