Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-06-22 13:06:59 AEST,16.51.152.19@853,NOERROR,171.8
test0.example.test,2026-06-22 13:06:59 AEST,16.51.152.19@853,NOERROR,79.9
test1.example.test,2026-06-22 13:06:59 AEST,16.51.152.19@853,NOERROR,82.6
test2.example.test,2026-06-22 13:06:59 AEST,16.51.152.19@853,NOERROR,75.1
test3.example.test,2026-06-22 13:06:59 AEST,16.51.152.19@853,NOERROR,84.8
test4.example.test,2026-06-22 13:06:59 AEST,16.51.152.19@853,NOERROR,87.5
test5.example.test,2026-06-22 13:06:59 AEST,16.51.152.19@853,NOERROR,92.1
test6.example.test,2026-06-22 13:07:00 AEST,16.51.152.19@853,NOERROR,91.5
test7.example.test,2026-06-22 13:07:00 AEST,16.51.152.19@853,NOERROR,88.2
test8.example.test,2026-06-22 13:07:00 AEST,16.51.152.19@853,NOERROR,81.1
test9.example.test,2026-06-22 13:07:00 AEST,16.51.152.19@853,NOERROR,83.2
test10.example.test,2026-06-22 13:07:00 AEST,16.51.152.19@853,NOERROR,78.8
test11.example.test,2026-06-22 13:07:00 AEST,16.51.152.19@853,NOERROR,78.9
test12.example.test,2026-06-22 13:07:00 AEST,16.51.152.19@853,NOERROR,78.2
test13.example.test,2026-06-22 13:07:00 AEST,16.51.152.19@853,NOERROR,72.4
test14.example.test,2026-06-22 13:07:00 AEST,16.51.152.19@853,NOERROR,74.2
test15.example.test,2026-06-22 13:07:00 AEST,16.51.152.19@853,NOERROR,82.2
test16.example.test,2026-06-22 13:07:00 AEST,16.51.152.19@853,NOERROR,89.2
test17.example.test,2026-06-22 13:07:01 AEST,16.51.152.19@853,NOERROR,76.5
test18.example.test,2026-06-22 13:07:01 AEST,16.51.152.19@853,NOERROR,76.6
test19.example.test,2026-06-22 13:07:01 AEST,16.51.152.19@853,NOERROR,81.5
,,,,81.725
,,,,5.71580219539148
